"ITTER107","Territory","TIPO_DATO7","Air Transport Indicators","ARRIVO_PARTENZA","Arriving-Departing","AEROPORTI","Airports","SERVIZIO_AEREO_TIPO","Air service type","ISO","Nationality of the vector","ISO_OD","Origin / Destination","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTSH","internal scheduled","IT","Italy","IT","Italy","2017","2017",254307,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTSH","internal scheduled","IT","Italy","IT","Italy","2018","2018",110038,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTSH","internal scheduled","IT","Italy","IT","Italy","2017","2017",7,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTSH","internal scheduled","IT","Italy","IT","Italy","2018","2018",0,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTNSH","internal non-scheduled","IT","Italy","IT","Italy","2017","2017",1,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTNSH","internal non-scheduled","IT","Italy","IT","Italy","2018","2018",0,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTNSH","internal non-scheduled","IT","Italy","IT","Italy","2017","2017",0,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTNSH","internal non-scheduled","IT","Italy","IT","Italy","2018","2018",0,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTSE","internal service","IT","Italy","IT","Italy","2017","2017",254308,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTSE","internal service","IT","Italy","IT","Italy","2018","2018",110038,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTSE","internal service","IT","Italy","IT","Italy","2017","2017",7,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTSE","internal service","IT","Italy","IT","Italy","2018","2018",0,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ITLSH","international scheduled","IT","Italy","WRL_X_ITA","Foreign countries","2017","2017",,"g","the instance exists, but is not known for any reason"
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ITLSH","international scheduled","IT","Italy","WRL_X_ITA","Foreign countries","2018","2018",0,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","ITLSH","international scheduled","IT","Italy","WRL_X_ITA","Foreign countries","2017","2017",,"g","the instance exists, but is not known for any reason"
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","ITLSH","international scheduled","IT","Italy","WRL_X_ITA","Foreign countries","2018","2018",0,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ITLNSH","international non-scheduled","IT","Italy","WRL_X_ITA","Foreign countries","2017","2017",306,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ITLNSH","international non-scheduled","IT","Italy","WRL_X_ITA","Foreign countries","2018","2018",283,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","ITLNSH","international non-scheduled","IT","Italy","WRL_X_ITA","Foreign countries","2017","2017",0,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","ITLNSH","international non-scheduled","IT","Italy","WRL_X_ITA","Foreign countries","2018","2018",0,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ITLSE","international service","IT","Italy","WRL_X_ITA","Foreign countries","2017","2017",306,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ITLSE","international service","IT","Italy","WRL_X_ITA","Foreign countries","2018","2018",283,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","ITLSE","international service","IT","Italy","WRL_X_ITA","Foreign countries","2017","2017",0,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","ITLSE","international service","IT","Italy","WRL_X_ITA","Foreign countries","2018","2018",0,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTSH","internal scheduled","WORLD","All countries of the world","IT","Italy","2017","2017",492836,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTSH","internal scheduled","WORLD","All countries of the world","IT","Italy","2018","2018",469551,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTSH","internal scheduled","WORLD","All countries of the world","IT","Italy","2017","2017",7,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTSH","internal scheduled","WORLD","All countries of the world","IT","Italy","2018","2018",1,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTNSH","internal non-scheduled","WORLD","All countries of the world","IT","Italy","2017","2017",96,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTNSH","internal non-scheduled","WORLD","All countries of the world","IT","Italy","2018","2018",349,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTNSH","internal non-scheduled","WORLD","All countries of the world","IT","Italy","2017","2017",0,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTNSH","internal non-scheduled","WORLD","All countries of the world","IT","Italy","2018","2018",0,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTSE","internal service","WORLD","All countries of the world","IT","Italy","2017","2017",492932,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","INTSE","internal service","WORLD","All countries of the world","IT","Italy","2018","2018",469900,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTSE","internal service","WORLD","All countries of the world","IT","Italy","2017","2017",7,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","INTSE","internal service","WORLD","All countries of the world","IT","Italy","2018","2018",1,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","SCS","scheduled service","WORLD","All countries of the world","WORLD","All countries of the world","2017","2017",607258,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","SCS","scheduled service","WORLD","All countries of the world","WORLD","All countries of the world","2018","2018",610463,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","SCS","scheduled service","WORLD","All countries of the world","WORLD","All countries of the world","2017","2017",7,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","SCS","scheduled service","WORLD","All countries of the world","WORLD","All countries of the world","2018","2018",2,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","NSSH","non-scheduled service","WORLD","All countries of the world","WORLD","All countries of the world","2017","2017",49721,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","NSSH","non-scheduled service","WORLD","All countries of the world","WORLD","All countries of the world","2018","2018",62862,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","NSSH","non-scheduled service","WORLD","All countries of the world","WORLD","All countries of the world","2017","2017",0,,
"IT","Italy","T","freight and mail carried - tons ","AR","arrivals","AHO","Alghero-Fertilia airport","NSSH","non-scheduled service","WORLD","All countries of the world","WORLD","All countries of the world","2018","2018",0,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2017","2017",656979,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2017-Q1","Q1-2017",86692,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2017-Q2","Q2-2017",197350,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2017-Q4","Q4-2017",108076,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2017-Q3","Q3-2017",264861,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2018","2018",673325,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2018-Q2","Q2-2018",204345,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2018-Q1","Q1-2018",82417,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2018-Q4","Q4-2018",114869,,
"IT","Italy","PASS","passengers carried","AR","arrivals","AHO","Alghero-Fertilia airport","ALL","Total","WORLD","All countries of the world","WORLD","All countries of the world","2018-Q3","Q3-2018",271694,,
