Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Italy","ITA","Subnat","ITAr105","Abruzzo",0.618,0.627,0.639,0.650,0.667,0.676,0.685,0.698,0.707,0.715,0.721,0.733,0.749,0.759,0.771,0.779,0.787,0.790,0.799,0.801,0.806,0.819,0.819,0.815,0.813,0.813,0.810,0.814,0.814
"Italy","ITA","Subnat","ITAr109","Basilicata",0.569,0.577,0.588,0.598,0.614,0.622,0.630,0.642,0.651,0.658,0.664,0.673,0.686,0.698,0.704,0.713,0.721,0.729,0.735,0.737,0.739,0.748,0.749,0.749,0.755,0.752,0.755,0.757,0.757
"Italy","ITA","Subnat","ITAr110","Calabria",0.586,0.594,0.605,0.616,0.632,0.640,0.649,0.662,0.670,0.678,0.684,0.693,0.701,0.711,0.721,0.726,0.734,0.741,0.746,0.751,0.752,0.762,0.761,0.757,0.763,0.761,0.758,0.760,0.760
"Italy","ITA","Subnat","ITAr107","Campania",0.586,0.595,0.606,0.617,0.633,0.641,0.650,0.662,0.671,0.679,0.684,0.695,0.705,0.714,0.721,0.727,0.735,0.740,0.745,0.750,0.753,0.762,0.763,0.761,0.767,0.767,0.771,0.772,0.772
"Italy","ITA","Subnat","ITAr117","Emilia-Romagna",0.633,0.643,0.655,0.667,0.684,0.693,0.702,0.716,0.726,0.733,0.740,0.753,0.762,0.770,0.775,0.780,0.790,0.798,0.805,0.809,0.812,0.824,0.823,0.819,0.824,0.827,0.831,0.833,0.833
"Italy","ITA","Subnat","ITAr116","Friuli-Venezia Giulia",0.608,0.618,0.629,0.640,0.657,0.666,0.675,0.688,0.697,0.704,0.710,0.723,0.734,0.746,0.751,0.759,0.771,0.777,0.782,0.784,0.788,0.796,0.803,0.799,0.807,0.804,0.806,0.812,0.812
"Italy","ITA","Subnat","ITAr121","Lazio",0.631,0.640,0.652,0.664,0.681,0.690,0.699,0.713,0.722,0.730,0.736,0.749,0.758,0.770,0.782,0.790,0.798,0.808,0.815,0.818,0.821,0.831,0.830,0.828,0.829,0.829,0.831,0.835,0.835
"Italy","ITA","Subnat","ITAr103","Liguria",0.605,0.615,0.626,0.637,0.654,0.662,0.672,0.684,0.693,0.701,0.707,0.718,0.728,0.738,0.754,0.761,0.768,0.777,0.786,0.792,0.793,0.801,0.799,0.797,0.796,0.794,0.793,0.795,0.795
"Italy","ITA","Subnat","ITAr104","Lombardia",0.604,0.613,0.624,0.635,0.652,0.661,0.670,0.683,0.691,0.699,0.705,0.717,0.727,0.737,0.745,0.753,0.762,0.770,0.777,0.780,0.784,0.793,0.792,0.790,0.795,0.796,0.797,0.800,0.800
"Italy","ITA","Subnat","ITAr120","Marche",0.618,0.627,0.639,0.650,0.667,0.676,0.685,0.698,0.707,0.715,0.721,0.735,0.743,0.751,0.756,0.761,0.770,0.774,0.779,0.785,0.789,0.796,0.797,0.797,0.807,0.810,0.815,0.819,0.819
"Italy","ITA","Subnat","ITAr106","Molise",0.590,0.599,0.610,0.621,0.638,0.646,0.654,0.667,0.676,0.683,0.689,0.699,0.713,0.723,0.731,0.738,0.746,0.754,0.760,0.761,0.763,0.772,0.774,0.773,0.780,0.781,0.781,0.784,0.784
"Italy","ITA","Subnat","ITAr101","Piemonte",0.601,0.610,0.621,0.632,0.649,0.657,0.666,0.679,0.688,0.695,0.701,0.711,0.721,0.732,0.740,0.749,0.758,0.766,0.772,0.775,0.780,0.789,0.787,0.786,0.794,0.794,0.797,0.799,0.799
"Italy","ITA","Subnat","ITAr113","Provincia Autonoma di Bolzano",0.562,0.570,0.580,0.591,0.606,0.614,0.622,0.634,0.643,0.650,0.655,0.660,0.667,0.675,0.683,0.690,0.697,0.707,0.712,0.716,0.721,0.730,0.732,0.733,0.747,0.731,0.740,0.742,0.742
