Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Italy","ITA","Subnat","ITAr105","Abruzzo",0.894,0.897,0.899,0.902,0.903,0.910,0.913,0.919,0.921,0.928,0.929,0.932,0.930,0.940,0.938,0.945,0.944,0.947,0.951,0.943,0.951,0.956,0.962,0.962,0.962,0.967,0.972,0.974,0.977
"Italy","ITA","Subnat","ITAr109","Basilicata",0.886,0.889,0.889,0.899,0.900,0.898,0.903,0.908,0.911,0.914,0.921,0.921,0.922,0.936,0.931,0.936,0.938,0.947,0.951,0.955,0.959,0.958,0.962,0.960,0.962,0.963,0.965,0.968,0.971
"Italy","ITA","Subnat","ITAr110","Calabria",0.885,0.883,0.888,0.892,0.895,0.902,0.904,0.905,0.909,0.917,0.918,0.921,0.930,0.929,0.932,0.933,0.940,0.941,0.944,0.944,0.951,0.950,0.953,0.956,0.953,0.961,0.962,0.965,0.968
"Italy","ITA","Subnat","ITAr107","Campania",0.860,0.858,0.865,0.869,0.872,0.876,0.880,0.882,0.888,0.893,0.894,0.897,0.903,0.906,0.911,0.913,0.918,0.918,0.924,0.926,0.927,0.929,0.934,0.934,0.938,0.938,0.944,0.947,0.949
"Italy","ITA","Subnat","ITAr117","Emilia-Romagna",0.939,0.942,0.939,0.938,0.938,0.938,0.936,0.936,0.938,0.936,0.935,0.930,0.936,0.939,0.943,0.947,0.950,0.955,0.956,0.961,0.964,0.967,0.966,0.969,0.971,0.975,0.975,0.977,0.980
"Italy","ITA","Subnat","ITAr116","Friuli-Venezia Giulia",0.877,0.879,0.882,0.887,0.893,0.896,0.895,0.905,0.912,0.914,0.920,0.920,0.921,0.926,0.932,0.938,0.941,0.952,0.948,0.954,0.954,0.956,0.960,0.957,0.967,0.969,0.972,0.974,0.977
"Italy","ITA","Subnat","ITAr121","Lazio",0.886,0.885,0.886,0.890,0.895,0.899,0.903,0.905,0.911,0.914,0.917,0.917,0.921,0.926,0.923,0.933,0.937,0.941,0.944,0.944,0.945,0.948,0.953,0.960,0.962,0.967,0.967,0.970,0.972
"Italy","ITA","Subnat","ITAr103","Liguria",0.877,0.888,0.889,0.886,0.892,0.890,0.903,0.905,0.912,0.916,0.918,0.920,0.926,0.928,0.938,0.939,0.941,0.945,0.947,0.949,0.951,0.952,0.957,0.956,0.965,0.967,0.973,0.976,0.978
"Italy","ITA","Subnat","ITAr104","Lombardia",0.871,0.877,0.883,0.886,0.892,0.893,0.898,0.905,0.912,0.916,0.924,0.921,0.927,0.931,0.938,0.942,0.946,0.952,0.951,0.957,0.959,0.965,0.965,0.971,0.974,0.975,0.979,0.982,0.984
"Italy","ITA","Subnat","ITAr120","Marche",0.951,0.954,0.951,0.950,0.950,0.950,0.949,0.948,0.951,0.948,0.947,0.943,0.947,0.951,0.952,0.959,0.958,0.964,0.964,0.969,0.973,0.973,0.974,0.972,0.976,0.977,0.979,0.982,0.984
