Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Italy","ITA","Subnat","ITAr105","Abruzzo",0.834,0.836,0.837,0.836,0.839,0.844,0.846,0.849,0.851,0.854,0.859,0.862,0.862,0.861,0.863,0.868,0.872,0.874,0.871,0.862,0.866,0.870,0.868,0.863,0.861,0.861,0.863,0.866,0.869
"Italy","ITA","Subnat","ITAr109","Basilicata",0.810,0.812,0.813,0.812,0.815,0.820,0.822,0.825,0.827,0.830,0.835,0.838,0.838,0.837,0.839,0.839,0.846,0.849,0.844,0.835,0.833,0.836,0.834,0.836,0.828,0.840,0.839,0.842,0.844
"Italy","ITA","Subnat","ITAr110","Calabria",0.790,0.791,0.792,0.791,0.794,0.799,0.801,0.804,0.806,0.809,0.814,0.816,0.816,0.816,0.818,0.820,0.824,0.824,0.821,0.817,0.816,0.816,0.812,0.806,0.804,0.803,0.807,0.810,0.812
"Italy","ITA","Subnat","ITAr107","Campania",0.802,0.804,0.805,0.804,0.807,0.811,0.814,0.817,0.819,0.822,0.827,0.829,0.829,0.829,0.831,0.832,0.835,0.836,0.832,0.826,0.823,0.821,0.818,0.813,0.811,0.813,0.820,0.823,0.825
"Italy","ITA","Subnat","ITAr117","Emilia-Romagna",0.894,0.896,0.897,0.896,0.899,0.904,0.906,0.910,0.912,0.915,0.920,0.923,0.923,0.922,0.924,0.925,0.929,0.931,0.926,0.915,0.917,0.920,0.915,0.913,0.913,0.914,0.919,0.922,0.924
"Italy","ITA","Subnat","ITAr116","Friuli-Venezia Giulia",0.875,0.877,0.878,0.877,0.880,0.884,0.887,0.890,0.892,0.895,0.900,0.903,0.903,0.903,0.905,0.908,0.912,0.914,0.906,0.896,0.900,0.901,0.895,0.894,0.892,0.895,0.898,0.901,0.904
"Italy","ITA","Subnat","ITAr121","Lazio",0.903,0.904,0.905,0.904,0.907,0.912,0.915,0.918,0.920,0.923,0.929,0.931,0.931,0.931,0.933,0.934,0.935,0.936,0.929,0.924,0.923,0.923,0.914,0.907,0.903,0.902,0.904,0.907,0.910
"Italy","ITA","Subnat","ITAr103","Liguria",0.879,0.881,0.882,0.881,0.884,0.888,0.891,0.894,0.897,0.899,0.905,0.907,0.907,0.907,0.909,0.910,0.912,0.917,0.914,0.905,0.904,0.905,0.901,0.896,0.898,0.898,0.901,0.904,0.906
"Italy","ITA","Subnat","ITAr104","Lombardia",0.906,0.908,0.909,0.908,0.911,0.916,0.919,0.922,0.924,0.927,0.933,0.935,0.935,0.935,0.937,0.937,0.938,0.939,0.938,0.929,0.934,0.934,0.929,0.923,0.923,0.924,0.927,0.930,0.933
"Italy","ITA","Subnat","ITAr120","Marche",0.861,0.863,0.864,0.863,0.866,0.871,0.873,0.877,0.879,0.882,0.887,0.890,0.889,0.889,0.891,0.892,0.897,0.899,0.891,0.884,0.884,0.884,0.879,0.874,0.876,0.875,0.878,0.881,0.883
"Italy","ITA","Subnat","ITAr106","Molise",0.823,0.825,0.826,0.825,0.828,0.833,0.835,0.838,0.840,0.843,0.848,0.851,0.851,0.850,0.852,0.854,0.862,0.864,0.855,0.851,0.850,0.848,0.843,0.830,0.826,0.828,0.834,0.837,0.840
"Italy","ITA","Subnat","ITAr101","Piemonte",0.879,0.881,0.882,0.881,0.884,0.888,0.891,0.894,0.897,0.899,0.905,0.907,0.907,0.907,0.909,0.910,0.913,0.913,0.907,0.894,0.899,0.900,0.893,0.892,0.890,0.891,0.894,0.897,0.899
"Italy","ITA","Subnat","ITAr113","Provincia Autonoma di Bolzano",0.912,0.914,0.914,0.913,0.916,0.921,0.924,0.927,0.930,0.933,0.938,0.941,0.941,0.940,0.942,0.941,0.945,0.946,0.944,0.941,0.944,0.946,0.949,0.947,0.946,0.947,0.950,0.954,0.956
"Italy","ITA","Subnat","ITAr114","Provincia Autonoma di Trento",0.901,0.903,0.903,0.902,0.905,0.910,0.913,0.916,0.918,0.921,0.927,0.929,0.929,0.929,0.931,0.930,0.932,0.933,0.929,0.923,0.925,0.926,0.922,0.922,0.920,0.918,0.920,0.923,0.926
"Italy","ITA","Subnat","ITAr108","Puglia",0.798,0.799,0.800,0.799,0.802,0.807,0.809,0.812,0.814,0.817,0.822,0.825,0.824,0.824,0.826,0.826,0.831,0.830,0.823,0.818,0.820,0.821,0.820,0.814,0.813,0.815,0.816,0.819,0.821
"Italy","ITA","Subnat","ITAr112","Sardegna",0.817,0.819,0.820,0.819,0.822,0.827,0.829,0.832,0.834,0.837,0.842,0.845,0.845,0.844,0.846,0.847,0.851,0.851,0.850,0.845,0.844,0.843,0.842,0.835,0.832,0.836,0.836,0.839,0.841
"Italy","ITA","Subnat","ITAr111","Sicilia",0.799,0.801,0.802,0.801,0.804,0.809,0.811,0.814,0.816,0.819,0.824,0.827,0.826,0.826,0.828,0.832,0.835,0.835,0.831,0.825,0.824,0.822,0.819,0.813,0.808,0.809,0.810,0.814,0.816
"Italy","ITA","Subnat","ITAr118","Toscana",0.874,0.876,0.877,0.876,0.879,0.884,0.886,0.890,0.892,0.895,0.900,0.903,0.903,0.902,0.904,0.904,0.907,0.908,0.904,0.898,0.898,0.899,0.897,0.892,0.893,0.893,0.896,0.899,0.902
"Italy","ITA","Subnat","ITAr119","Umbria",0.860,0.862,0.863,0.862,0.865,0.870,0.872,0.875,0.878,0.880,0.886,0.888,0.888,0.888,0.890,0.889,0.893,0.893,0.889,0.876,0.877,0.876,0.869,0.864,0.859,0.862,0.862,0.865,0.867
"Italy","ITA","Subnat","ITAr102","Valle dAosta",0.904,0.906,0.907,0.906,0.909,0.914,0.917,0.920,0.922,0.925,0.931,0.933,0.933,0.933,0.935,0.936,0.938,0.937,0.935,0.926,0.933,0.933,0.932,0.922,0.919,0.917,0.920,0.923,0.926
"Italy","ITA","Subnat","ITAr115","Veneto",0.885,0.887,0.888,0.887,0.890,0.895,0.897,0.900,0.903,0.906,0.911,0.914,0.913,0.913,0.915,0.916,0.918,0.918,0.912,0.904,0.906,0.908,0.903,0.900,0.900,0.901,0.905,0.908,0.911
