Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Italy","ITA","Subnat","ITAr105","Abruzzo",0.772,0.778,0.783,0.788,0.797,0.804,0.809,0.817,0.821,0.828,0.832,0.838,0.844,0.850,0.855,0.861,0.865,0.868,0.871,0.867,0.872,0.880,0.881,0.878,0.877,0.878,0.879,0.882,0.884
"Italy","ITA","Subnat","ITAr109","Basilicata",0.742,0.747,0.752,0.759,0.767,0.771,0.776,0.783,0.789,0.793,0.799,0.804,0.809,0.818,0.819,0.824,0.830,0.837,0.839,0.838,0.839,0.843,0.844,0.844,0.844,0.847,0.849,0.851,0.853
"Italy","ITA","Subnat","ITAr110","Calabria",0.743,0.746,0.752,0.757,0.766,0.773,0.777,0.784,0.789,0.795,0.800,0.805,0.810,0.814,0.819,0.822,0.828,0.831,0.833,0.834,0.836,0.839,0.838,0.836,0.836,0.837,0.838,0.841,0.842
"Italy","ITA","Subnat","ITAr107","Campania",0.739,0.743,0.750,0.755,0.764,0.769,0.775,0.781,0.787,0.793,0.797,0.802,0.808,0.812,0.817,0.820,0.826,0.828,0.830,0.831,0.831,0.835,0.835,0.833,0.836,0.836,0.842,0.844,0.845
"Italy","ITA","Subnat","ITAr117","Emilia-Romagna",0.810,0.816,0.820,0.825,0.832,0.838,0.841,0.848,0.853,0.856,0.860,0.865,0.870,0.874,0.877,0.881,0.887,0.892,0.893,0.893,0.895,0.902,0.899,0.898,0.901,0.903,0.906,0.909,0.910
"Italy","ITA","Subnat","ITAr116","Friuli-Venezia Giulia",0.776,0.781,0.787,0.793,0.802,0.808,0.812,0.821,0.828,0.832,0.838,0.844,0.848,0.854,0.859,0.865,0.871,0.878,0.876,0.875,0.878,0.882,0.884,0.881,0.886,0.887,0.889,0.893,0.895
"Italy","ITA","Subnat","ITAr121","Lazio",0.796,0.800,0.806,0.811,0.821,0.827,0.833,0.840,0.846,0.851,0.856,0.862,0.866,0.872,0.877,0.883,0.888,0.893,0.894,0.894,0.895,0.899,0.898,0.897,0.896,0.898,0.899,0.902,0.904
"Italy","ITA","Subnat","ITAr103","Liguria",0.775,0.784,0.789,0.792,0.802,0.806,0.815,0.821,0.828,0.833,0.837,0.843,0.849,0.853,0.863,0.866,0.870,0.876,0.880,0.879,0.880,0.884,0.883,0.881,0.884,0.883,0.886,0.889,0.890
"Italy","ITA","Subnat","ITAr104","Lombardia",0.781,0.787,0.794,0.799,0.809,0.815,0.821,0.829,0.835,0.840,0.847,0.852,0.857,0.862,0.868,0.873,0.878,0.883,0.885,0.885,0.889,0.894,0.892,0.891,0.894,0.895,0.898,0.901,0.902
"Italy","ITA","Subnat","ITAr120","Marche",0.797,0.802,0.807,0.811,0.819,0.824,0.828,0.834,0.839,0.842,0.846,0.851,0.855,0.859,0.862,0.867,0.871,0.875,0.875,0.876,0.879,0.881,0.880,0.878,0.884,0.885,0.888,0.892,0.893
"Italy","ITA","Subnat","ITAr106","Molise",0.760,0.762,0.767,0.773,0.783,0.788,0.793,0.798,0.804,0.810,0.813,0.820,0.827,0.832,0.833,0.840,0.844,0.853,0.850,0.852,0.852,0.855,0.857,0.851,0.851,0.855,0.858,0.861,0.863
"Italy","ITA","Subnat","ITAr101","Piemonte",0.773,0.779,0.785,0.790,0.799,0.804,0.811,0.818,0.824,0.828,0.835,0.840,0.844,0.850,0.856,0.861,0.866,0.871,0.871,0.870,0.874,0.879,0.877,0.876,0.880,0.880,0.884,0.886,0.888
"Italy","ITA","Subnat","ITAr113","Provincia Autonoma di Bolzano",0.768,0.775,0.781,0.785,0.795,0.802,0.805,0.816,0.820,0.824,0.830,0.833,0.838,0.841,0.846,0.851,0.856,0.863,0.865,0.868,0.871,0.877,0.878,0.879,0.884,0.879,0.884,0.886,0.888
"Italy","ITA","Subnat","ITAr114","Provincia Autonoma di Trento",0.790,0.795,0.801,0.809,0.816,0.822,0.830,0.837,0.841,0.848,0.853,0.861,0.866,0.869,0.873,0.880,0.884,0.891,0.893,0.895,0.896,0.904,0.902,0.900,0.905,0.906,0.906,0.909,0.911
"Italy","ITA","Subnat","ITAr108","Puglia",0.742,0.747,0.752,0.758,0.766,0.773,0.777,0.784,0.789,0.795,0.799,0.805,0.810,0.815,0.819,0.822,0.828,0.830,0.833,0.831,0.835,0.839,0.839,0.837,0.840,0.840,0.841,0.843,0.845
"Italy","ITA","Subnat","ITAr112","Sardegna",0.752,0.756,0.763,0.766,0.774,0.782,0.786,0.794,0.798,0.803,0.809,0.815,0.821,0.825,0.830,0.833,0.839,0.842,0.846,0.845,0.848,0.852,0.851,0.849,0.850,0.854,0.853,0.857,0.858
"Italy","ITA","Subnat","ITAr111","Sicilia",0.739,0.745,0.750,0.756,0.764,0.770,0.775,0.783,0.788,0.793,0.798,0.803,0.807,0.812,0.817,0.821,0.826,0.829,0.831,0.831,0.833,0.835,0.835,0.833,0.833,0.833,0.834,0.837,0.838
"Italy","ITA","Subnat","ITAr118","Toscana",0.783,0.788,0.794,0.799,0.808,0.814,0.819,0.827,0.834,0.839,0.843,0.849,0.855,0.861,0.866,0.870,0.876,0.879,0.880,0.881,0.883,0.888,0.887,0.885,0.889,0.892,0.895,0.898,0.900
"Italy","ITA","Subnat","ITAr119","Umbria",0.778,0.784,0.790,0.794,0.803,0.810,0.814,0.823,0.827,0.833,0.840,0.844,0.851,0.857,0.862,0.863,0.870,0.873,0.874,0.874,0.876,0.881,0.878,0.876,0.877,0.877,0.880,0.882,0.884
"Italy","ITA","Subnat","ITAr102","Valle dAosta",0.763,0.765,0.771,0.779,0.785,0.793,0.795,0.804,0.810,0.816,0.817,0.826,0.828,0.837,0.844,0.845,0.854,0.855,0.859,0.859,0.862,0.869,0.871,0.868,0.870,0.864,0.871,0.875,0.877
"Italy","ITA","Subnat","ITAr115","Veneto",0.775,0.781,0.786,0.792,0.801,0.807,0.813,0.821,0.827,0.831,0.837,0.844,0.847,0.854,0.858,0.863,0.868,0.872,0.874,0.874,0.877,0.882,0.879,0.878,0.883,0.883,0.886,0.890,0.892
