country_region_code,sub_region_1,sub_region_2,date,transit_stations_percent_change_from_baseline
IT,NA,NA,2020-02-15,9
IT,NA,NA,2020-02-16,11
IT,NA,NA,2020-02-17,3
IT,NA,NA,2020-02-18,4
IT,NA,NA,2020-02-19,3
IT,NA,NA,2020-02-20,5
IT,NA,NA,2020-02-21,5
IT,NA,NA,2020-02-22,8
IT,NA,NA,2020-02-23,6
IT,NA,NA,2020-02-24,-15
IT,NA,NA,2020-02-25,-18
IT,NA,NA,2020-02-26,-23
IT,NA,NA,2020-02-27,-22
IT,NA,NA,2020-02-28,-20
IT,NA,NA,2020-02-29,-16
IT,NA,NA,2020-03-01,-26
IT,NA,NA,2020-03-02,-25
IT,NA,NA,2020-03-03,-21
IT,NA,NA,2020-03-04,-19
IT,NA,NA,2020-03-05,-28
IT,NA,NA,2020-03-06,-29
IT,NA,NA,2020-03-07,-24
IT,NA,NA,2020-03-08,-27
IT,NA,NA,2020-03-09,-42
IT,NA,NA,2020-03-10,-51
IT,NA,NA,2020-03-11,-57
IT,NA,NA,2020-03-12,-67
IT,NA,NA,2020-03-13,-71
IT,NA,NA,2020-03-14,-76
IT,NA,NA,2020-03-15,-80
IT,NA,NA,2020-03-16,-74
IT,NA,NA,2020-03-17,-76
IT,NA,NA,2020-03-18,-77
IT,NA,NA,2020-03-19,-78
IT,NA,NA,2020-03-20,-78
IT,NA,NA,2020-03-21,-80
IT,NA,NA,2020-03-22,-87
IT,NA,NA,2020-03-23,-81
IT,NA,NA,2020-03-24,-81
IT,NA,NA,2020-03-25,-82
IT,NA,NA,2020-03-26,-83
IT,NA,NA,2020-03-27,-82
IT,NA,NA,2020-03-28,-82
IT,NA,NA,2020-03-29,-87
IT,NA,NA,2020-03-30,-81
IT,NA,NA,2020-03-31,-79
IT,NA,NA,2020-04-01,-79
IT,NA,NA,2020-04-02,-79
IT,NA,NA,2020-04-03,-79
IT,NA,NA,2020-04-04,-80
IT,NA,NA,2020-04-05,-86
IT,NA,NA,2020-04-06,-78
IT,NA,NA,2020-04-07,-78
IT,NA,NA,2020-04-08,-78
IT,NA,NA,2020-04-09,-78
IT,NA,NA,2020-04-10,-77
IT,NA,NA,2020-04-11,-78
IT,NA,NA,2020-04-12,-88
IT,NA,NA,2020-04-13,-91
IT,NA,NA,2020-04-14,-77
IT,NA,NA,2020-04-15,-76
IT,NA,NA,2020-04-16,-76
IT,NA,NA,2020-04-17,-76
IT,NA,NA,2020-04-18,-77
IT,NA,NA,2020-04-19,-84
IT,NA,NA,2020-04-20,-79
IT,NA,NA,2020-04-21,-77
IT,NA,NA,2020-04-22,-76
IT,NA,NA,2020-04-23,-75
IT,NA,NA,2020-04-24,-73
IT,NA,NA,2020-04-25,-83
IT,NA,NA,2020-04-26,-81
IT,NA,NA,2020-04-27,-72
IT,NA,NA,2020-04-28,-74
IT,NA,NA,2020-04-29,-72
IT,NA,NA,2020-04-30,-71
IT,NA,NA,2020-05-01,-86
IT,NA,NA,2020-05-02,-70
IT,NA,NA,2020-05-03,-76
IT,NA,NA,2020-05-04,-57
IT,NA,NA,2020-05-05,-58
IT,NA,NA,2020-05-06,-58
IT,NA,NA,2020-05-07,-58
IT,NA,NA,2020-05-08,-58
IT,NA,NA,2020-05-09,-52
IT,NA,NA,2020-05-10,-57
IT,NA,NA,2020-05-11,-61
IT,NA,NA,2020-05-12,-56
IT,NA,NA,2020-05-13,-59
IT,NA,NA,2020-05-14,-56
IT,NA,NA,2020-05-15,-58
IT,NA,NA,2020-05-16,-53
IT,NA,NA,2020-05-17,-52
IT,NA,NA,2020-05-18,-48
IT,NA,NA,2020-05-19,-50
IT,NA,NA,2020-05-20,-48
IT,NA,NA,2020-05-21,-46
IT,NA,NA,2020-05-22,-46
IT,NA,NA,2020-05-23,-35
IT,NA,NA,2020-05-24,-35
IT,NA,NA,2020-05-25,-45
IT,NA,NA,2020-05-26,-44
IT,NA,NA,2020-05-27,-43
IT,NA,NA,2020-05-28,-43
IT,NA,NA,2020-05-29,-45
IT,NA,NA,2020-05-30,-32
IT,NA,NA,2020-05-31,-32
IT,NA,NA,2020-06-01,-37
IT,NA,NA,2020-06-02,-46
IT,NA,NA,2020-06-03,-37
IT,NA,NA,2020-06-04,-44
IT,NA,NA,2020-06-05,-40
IT,NA,NA,2020-06-06,-25
IT,NA,NA,2020-06-07,-36
IT,NA,NA,2020-06-08,-42
IT,NA,NA,2020-06-09,-38
IT,NA,NA,2020-06-10,-39
IT,NA,NA,2020-06-11,-39
IT,NA,NA,2020-06-12,-34
IT,NA,NA,2020-06-13,-26
IT,NA,NA,2020-06-14,-23
IT,NA,NA,2020-06-15,-36
IT,NA,NA,2020-06-16,-34
IT,NA,NA,2020-06-17,-34
IT,NA,NA,2020-06-18,-33
IT,NA,NA,2020-06-19,-31
IT,NA,NA,2020-06-20,-16
IT,NA,NA,2020-06-21,-16
IT,NA,NA,2020-06-22,-31
IT,NA,NA,2020-06-23,-29
IT,NA,NA,2020-06-24,-30
IT,NA,NA,2020-06-25,-29
IT,NA,NA,2020-06-26,-27
IT,NA,NA,2020-06-27,-15
IT,NA,NA,2020-06-28,-14
IT,NA,NA,2020-06-29,-31
IT,NA,NA,2020-06-30,-29
IT,NA,NA,2020-07-01,-28
IT,NA,NA,2020-07-02,-28
IT,NA,NA,2020-07-03,-29
IT,NA,NA,2020-07-04,-15
IT,NA,NA,2020-07-05,-12
IT,NA,NA,2020-07-06,-27
IT,NA,NA,2020-07-07,-26
IT,NA,NA,2020-07-08,-26
IT,NA,NA,2020-07-09,-26
IT,NA,NA,2020-07-10,-25
IT,NA,NA,2020-07-11,-15
IT,NA,NA,2020-07-12,-9
IT,NA,NA,2020-07-13,-25
IT,NA,NA,2020-07-14,-25
IT,NA,NA,2020-07-15,-27
IT,NA,NA,2020-07-16,-25
IT,NA,NA,2020-07-17,-25
IT,NA,NA,2020-07-18,-10
IT,NA,NA,2020-07-19,-6
IT,NA,NA,2020-07-20,-25
IT,NA,NA,2020-07-21,-25
IT,NA,NA,2020-07-22,-26
IT,NA,NA,2020-07-23,-25
IT,NA,NA,2020-07-24,-26
IT,NA,NA,2020-07-25,-8
IT,NA,NA,2020-07-26,-5
IT,NA,NA,2020-07-27,-23
IT,NA,NA,2020-07-28,-24
IT,NA,NA,2020-07-29,-24
IT,NA,NA,2020-07-30,-25
IT,NA,NA,2020-07-31,-23
IT,NA,NA,2020-08-01,-10
IT,NA,NA,2020-08-02,-9
IT,NA,NA,2020-08-03,-26
IT,NA,NA,2020-08-04,-24
IT,NA,NA,2020-08-05,-24
IT,NA,NA,2020-08-06,-23
IT,NA,NA,2020-08-07,-22
IT,NA,NA,2020-08-08,-5
IT,NA,NA,2020-08-09,-1
IT,NA,NA,2020-08-10,-22
IT,NA,NA,2020-08-11,-24
IT,NA,NA,2020-08-12,-25
IT,NA,NA,2020-08-13,-24
IT,NA,NA,2020-08-14,-24
IT,NA,NA,2020-08-15,-17
IT,Abruzzo,NA,2020-02-15,9
IT,Abruzzo,NA,2020-02-16,26
IT,Abruzzo,NA,2020-02-17,7
IT,Abruzzo,NA,2020-02-18,5
IT,Abruzzo,NA,2020-02-19,1
IT,Abruzzo,NA,2020-02-20,5
IT,Abruzzo,NA,2020-02-21,7
IT,Abruzzo,NA,2020-02-22,8
IT,Abruzzo,NA,2020-02-23,20
IT,Abruzzo,NA,2020-02-24,2
IT,Abruzzo,NA,2020-02-25,-3
IT,Abruzzo,NA,2020-02-26,-11
IT,Abruzzo,NA,2020-02-27,-8
IT,Abruzzo,NA,2020-02-28,-11
IT,Abruzzo,NA,2020-02-29,-7
IT,Abruzzo,NA,2020-03-01,-11
IT,Abruzzo,NA,2020-03-02,-7
IT,Abruzzo,NA,2020-03-03,-10
IT,Abruzzo,NA,2020-03-04,-11
IT,Abruzzo,NA,2020-03-05,-16
IT,Abruzzo,NA,2020-03-06,-22
IT,Abruzzo,NA,2020-03-07,-31
IT,Abruzzo,NA,2020-03-08,-32
IT,Abruzzo,NA,2020-03-09,-38
IT,Abruzzo,NA,2020-03-10,-51
IT,Abruzzo,NA,2020-03-11,-60
IT,Abruzzo,NA,2020-03-12,-67
IT,Abruzzo,NA,2020-03-13,-72
IT,Abruzzo,NA,2020-03-14,-79
IT,Abruzzo,NA,2020-03-15,-86
IT,Abruzzo,NA,2020-03-16,-75
IT,Abruzzo,NA,2020-03-17,-76
IT,Abruzzo,NA,2020-03-18,-78
IT,Abruzzo,NA,2020-03-19,-79
IT,Abruzzo,NA,2020-03-20,-81
IT,Abruzzo,NA,2020-03-21,-85
IT,Abruzzo,NA,2020-03-22,-89
IT,Abruzzo,NA,2020-03-23,-83
IT,Abruzzo,NA,2020-03-24,-83
IT,Abruzzo,NA,2020-03-25,-83
IT,Abruzzo,NA,2020-03-26,-84
IT,Abruzzo,NA,2020-03-27,-85
IT,Abruzzo,NA,2020-03-28,-87
IT,Abruzzo,NA,2020-03-29,-90
IT,Abruzzo,NA,2020-03-30,-82
IT,Abruzzo,NA,2020-03-31,-81
IT,Abruzzo,NA,2020-04-01,-79
IT,Abruzzo,NA,2020-04-02,-79
IT,Abruzzo,NA,2020-04-03,-82
IT,Abruzzo,NA,2020-04-04,-86
IT,Abruzzo,NA,2020-04-05,-89
IT,Abruzzo,NA,2020-04-06,-81
IT,Abruzzo,NA,2020-04-07,-80
IT,Abruzzo,NA,2020-04-08,-80
IT,Abruzzo,NA,2020-04-09,-79
IT,Abruzzo,NA,2020-04-10,-81
IT,Abruzzo,NA,2020-04-11,-84
IT,Abruzzo,NA,2020-04-12,-92
IT,Abruzzo,NA,2020-04-13,-93
IT,Abruzzo,NA,2020-04-14,-81
IT,Abruzzo,NA,2020-04-15,-77
IT,Abruzzo,NA,2020-04-16,-78
IT,Abruzzo,NA,2020-04-17,-79
IT,Abruzzo,NA,2020-04-18,-83
IT,Abruzzo,NA,2020-04-19,-89
IT,Abruzzo,NA,2020-04-20,-80
IT,Abruzzo,NA,2020-04-21,-80
IT,Abruzzo,NA,2020-04-22,-80
IT,Abruzzo,NA,2020-04-23,-77
IT,Abruzzo,NA,2020-04-24,-76
IT,Abruzzo,NA,2020-04-25,-88
IT,Abruzzo,NA,2020-04-26,-87
IT,Abruzzo,NA,2020-04-27,-73
IT,Abruzzo,NA,2020-04-28,-74
IT,Abruzzo,NA,2020-04-29,-73
IT,Abruzzo,NA,2020-04-30,-71
IT,Abruzzo,NA,2020-05-01,-88
IT,Abruzzo,NA,2020-05-02,-78
IT,Abruzzo,NA,2020-05-03,-83
IT,Abruzzo,NA,2020-05-04,-56
IT,Abruzzo,NA,2020-05-05,-54
IT,Abruzzo,NA,2020-05-06,-60
IT,Abruzzo,NA,2020-05-07,-54
IT,Abruzzo,NA,2020-05-08,-57
IT,Abruzzo,NA,2020-05-09,-55
IT,Abruzzo,NA,2020-05-10,-64
IT,Abruzzo,NA,2020-05-11,-56
IT,Abruzzo,NA,2020-05-12,-53
IT,Abruzzo,NA,2020-05-13,-54
IT,Abruzzo,NA,2020-05-14,-54
IT,Abruzzo,NA,2020-05-15,-56
IT,Abruzzo,NA,2020-05-16,-56
IT,Abruzzo,NA,2020-05-17,-63
IT,Abruzzo,NA,2020-05-18,-46
IT,Abruzzo,NA,2020-05-19,-45
IT,Abruzzo,NA,2020-05-20,-50
IT,Abruzzo,NA,2020-05-21,-42
IT,Abruzzo,NA,2020-05-22,-45
IT,Abruzzo,NA,2020-05-23,-36
IT,Abruzzo,NA,2020-05-24,-44
IT,Abruzzo,NA,2020-05-25,-43
IT,Abruzzo,NA,2020-05-26,-40
IT,Abruzzo,NA,2020-05-27,-43
IT,Abruzzo,NA,2020-05-28,-41
IT,Abruzzo,NA,2020-05-29,-49
IT,Abruzzo,NA,2020-05-30,-37
IT,Abruzzo,NA,2020-05-31,-44
IT,Abruzzo,NA,2020-06-01,-39
IT,Abruzzo,NA,2020-06-02,-38
IT,Abruzzo,NA,2020-06-03,-22
IT,Abruzzo,NA,2020-06-04,-22
IT,Abruzzo,NA,2020-06-05,-27
IT,Abruzzo,NA,2020-06-06,-5
IT,Abruzzo,NA,2020-06-07,-3
IT,Abruzzo,NA,2020-06-08,-29
IT,Abruzzo,NA,2020-06-09,-27
IT,Abruzzo,NA,2020-06-10,-26
IT,Abruzzo,NA,2020-06-11,-24
IT,Abruzzo,NA,2020-06-12,-18
IT,Abruzzo,NA,2020-06-13,-6
IT,Abruzzo,NA,2020-06-14,-7
IT,Abruzzo,NA,2020-06-15,-26
IT,Abruzzo,NA,2020-06-16,-24
IT,Abruzzo,NA,2020-06-17,-23
IT,Abruzzo,NA,2020-06-18,-17
IT,Abruzzo,NA,2020-06-19,-14
IT,Abruzzo,NA,2020-06-20,3
IT,Abruzzo,NA,2020-06-21,4
IT,Abruzzo,NA,2020-06-22,-17
IT,Abruzzo,NA,2020-06-23,-15
