date,code,deaths,infectives,recovered,removed,tested,recoveredTotal,deathsTotal,infectivesTotal,testedTotal,removedTotal,activeInfectives
2020-02-26,ABR,0,0,0,0,8,0,0,0,13,0,0
2020-02-26,BAS,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,BZ,0,0,0,0,0,0,0,1,1,0,0
2020-02-26,CAL,0,0,0,0,1,0,0,0,3,0,0
2020-02-26,EMR,1,21,0,1,186,0,1,47,577,1,21
2020-02-26,FVG,0,0,0,0,25,0,0,0,114,0,0
2020-02-26,LAZ,0,0,2,2,0,3,0,3,124,3,0
2020-02-26,LIG,0,10,0,0,27,0,0,11,66,0,10
2020-02-26,LOM,0,18,0,0,18,0,9,258,3208,9,15
2020-02-26,MAR,0,1,0,0,7,0,0,1,28,0,1
2020-02-26,MOL,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,PIE,0,0,0,0,15,0,0,3,156,0,0
2020-02-26,PUG,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,SAR,0,0,0,0,0,0,0,0,1,0,0
2020-02-26,TOS,0,0,0,0,67,0,0,2,363,0,0
2020-02-26,UMB,0,0,0,0,0,0,0,0,8,0,0
2020-02-26,VDA,0,0,0,0,0,0,0,0,7,0,0
2020-02-26,VEN,1,28,0,1,1120,0,2,71,4900,2,28
2020-02-27,ABR,0,1,0,0,20,0,0,1,33,0,1
2020-02-27,BAS,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,BZ,0,0,0,0,1,0,0,1,2,0,0
2020-02-27,CAL,0,0,0,0,11,0,0,0,14,0,0
2020-02-27,EMR,0,50,0,0,456,0,1,97,1033,1,70
2020-02-27,FVG,0,0,0,0,27,0,0,0,141,0,0
2020-02-27,LAZ,0,0,0,0,428,3,0,3,552,3,-2
2020-02-27,LIG,0,8,0,0,12,0,0,19,78,0,18
2020-02-27,LOM,5,145,40,45,145,40,14,403,3320,54,160
2020-02-27,MAR,0,2,0,0,18,0,0,3,46,0,3
2020-02-27,MOL,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,PIE,0,-1,0,0,0,0,0,2,156,0,-1
2020-02-27,PUG,0,1,0,0,1,0,0,1,0,0,1
2020-02-27,SAR,0,0,0,0,0,0,0,0,1,0,0
2020-02-27,TOS,0,0,0,0,47,0,0,2,410,0,0
2020-02-27,UMB,0,0,0,0,0,0,0,0,8,0,0
2020-02-27,VDA,0,0,0,0,2,0,0,0,9,0,0
2020-02-27,VEN,0,40,0,0,1264,0,2,111,6164,2,67
2020-02-28,ABR,0,0,0,0,0,0,0,1,33,0,1
2020-02-28,BAS,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,BZ,0,0,0,0,0,0,0,1,2,0,0
2020-02-28,CAL,0,1,0,0,7,0,0,1,21,0,1
2020-02-28,EMR,1,48,0,1,244,0,2,145,1277,2,118
2020-02-28,FVG,0,0,0,0,28,0,0,0,169,0,0
2020-02-28,LAZ,0,0,0,0,59,3,0,3,611,3,-2
2020-02-28,LIG,0,0,0,0,34,0,0,19,112,0,18
2020-02-28,LOM,3,128,0,3,1515,40,17,531,4835,57,243
2020-02-28,MAR,0,3,0,0,3,0,0,6,47,0,6
2020-02-28,MOL,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,PIE,0,9,0,0,71,0,0,11,227,0,8
2020-02-28,PUG,0,2,0,0,242,0,0,3,242,0,3
2020-02-28,SAR,0,0,0,0,0,0,0,0,1,0,0
2020-02-28,TOS,0,6,1,1,27,1,0,8,437,1,6
2020-02-28,UMB,0,0,0,0,0,0,0,0,8,0,0
2020-02-28,VDA,0,0,0,0,0,0,0,0,9,0,0
2020-02-28,VEN,0,40,0,0,1250,0,2,151,7414,2,107
2020-02-29,ABR,0,1,0,0,10,0,0,2,43,0,2
2020-02-29,BAS,0,0,0,0,32,0,0,0,32,0,0
2020-02-29,BZ,0,0,0,0,14,0,0,1,16,0,0
2020-02-29,CAL,0,0,0,0,6,0,0,1,27,0,1
2020-02-29,EMR,2,72,0,2,273,0,4,217,1550,4,189
2020-02-29,FVG,0,0,0,0,20,0,0,0,189,0,0
2020-02-29,LAZ,0,3,0,0,68,3,0,6,679,3,1
2020-02-29,LIG,0,23,4,4,23,4,0,42,121,4,41
2020-02-29,LOM,6,84,0,6,888,40,23,615,5723,63,324
2020-02-29,MAR,0,5,0,0,21,0,0,11,68,0,11
2020-02-29,MOL,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,PIE,0,0,0,0,81,0,0,11,308,0,8
2020-02-29,PUG,0,0,0,0,10,0,0,3,252,0,3
2020-02-29,SAR,0,0,0,0,0,0,0,0,1,0,0
2020-02-29,TOS,0,3,0,0,94,1,0,11,531,1,8
2020-02-29,UMB,0,0,0,0,23,0,0,0,31,0,0
2020-02-29,VDA,0,0,0,0,0,0,0,0,9,0,0
2020-02-29,VEN,0,40,0,0,1245,0,2,191,8659,2,147
2020-03-01,ABR,0,3,0,0,9,0,0,5,52,0,5
2020-03-01,BAS,0,0,0,0,7,0,0,0,39,0,0
2020-03-01,BZ,0,0,0,0,4,0,0,1,20,0,0
2020-03-01,CAL,0,0,0,0,8,0,0,1,35,0,1
2020-03-01,EMR,4,68,0,4,245,0,8,285,1795,8,255
2020-03-01,FVG,0,6,0,0,54,0,0,6,243,0,6
2020-03-01,LAZ,0,0,0,0,45,3,0,6,724,3,1
2020-03-01,LIG,0,-17,0,0,0,4,0,25,121,4,20
2020-03-01,LOM,1,369,33,34,1156,73,24,984,6879,97,687
2020-03-01,MAR,0,14,0,0,33,0,0,25,101,0,25
2020-03-01,MOL,0,0,0,0,6,0,0,0,6,0,0
2020-03-01,PIE,0,38,0,0,54,0,0,49,362,0,46
2020-03-01,PUG,0,0,0,0,10,0,0,3,262,0,3
2020-03-01,SAR,0,0,0,0,28,0,0,0,29,0,0
2020-03-01,TOS,0,2,0,0,41,1,0,13,572,1,10
2020-03-01,UMB,0,2,0,0,4,0,0,2,35,0,2
2020-03-01,VDA,0,0,0,0,1,0,0,0,10,0,0
2020-03-01,VEN,0,72,0,0,397,0,2,263,9056,2,219
2020-03-02,ABR,0,0,0,0,0,0,0,5,52,0,5
2020-03-02,BAS,0,0,0,0,0,0,0,0,39,0,0
2020-03-02,BZ,0,0,0,0,0,0,0,1,20,0,0
2020-03-02,CAL,0,0,0,0,4,0,0,1,39,0,1
2020-03-02,EMR,3,50,0,3,178,0,11,335,1973,11,301
2020-03-02,FVG,0,3,0,0,26,0,0,9,269,0,9
2020-03-02,LAZ,0,1,0,0,49,3,0,7,773,3,2
2020-03-02,LIG,0,-3,0,0,0,4,0,22,121,4,17
2020-03-02,LOM,14,270,66,80,1046,139,38,1254,7925,177,923
2020-03-02,MAR,1,10,0,1,36,0,1,35,137,1,35
2020-03-02,MOL,0,0,0,0,7,0,0,0,13,0,0
2020-03-02,PIE,0,2,0,0,72,0,0,51,434,0,48
2020-03-02,PUG,0,1,0,0,16,0,0,4,278,0,4
2020-03-02,SAR,0,0,0,0,0,0,0,0,29,0,0
2020-03-02,TOS,0,0,0,0,41,1,0,13,613,1,10
2020-03-02,UMB,0,0,0,0,0,0,0,2,35,0,2
2020-03-02,VDA,0,0,0,0,1,0,0,0,11,0,0
2020-03-02,VEN,0,10,0,0,726,0,2,273,9782,2,229
2020-03-03,ABR,0,1,0,0,1,0,0,6,52,0,6
2020-03-03,BAS,0,1,0,0,3,0,0,1,42,0,1
2020-03-03,BZ,0,0,0,0,0,0,0,1,20,0,0
2020-03-03,CAL,0,0,0,0,0,0,0,1,39,0,1
2020-03-03,EMR,7,85,4,11,85,4,18,420,2012,22,383
2020-03-03,FVG,0,4,0,0,85,0,0,13,354,0,13
2020-03-03,LAZ,0,7,0,0,104,3,0,14,877,3,9
2020-03-03,LIG,1,2,0,1,2,4,1,24,121,5,19
2020-03-03,LOM,17,266,0,17,1652,139,55,1520,9577,194,1109
2020-03-03,MAR,1,26,0,1,63,0,2,61,200,2,60
2020-03-03,MOL,0,3,0,0,3,0,0,3,13,0,3
2020-03-03,PIE,0,5,0,0,24,0,0,56,458,0,53
2020-03-03,PUG,0,2,0,0,20,0,0,6,298,0,6
2020-03-03,SAR,0,1,0,0,1,0,0,1,29,0,1
2020-03-03,TOS,0,6,0,0,84,1,0,19,697,1,16
2020-03-03,UMB,0,6,0,0,10,0,0,8,45,0,8
2020-03-03,VDA,0,0,0,0,1,0,0,0,12,0,0
2020-03-03,VEN,1,34,7,8,394,7,3,307,10176,10,263
2020-03-04,ABR,0,1,0,0,33,0,0,7,85,0,7
2020-03-04,BAS,0,0,0,0,6,0,0,1,48,0,1
2020-03-04,BZ,0,0,0,0,0,0,0,1,20,0,0
2020-03-04,CAL,0,0,0,0,7,0,0,1,46,0,1
2020-03-04,EMR,4,124,2,6,488,6,22,544,2500,28,496
2020-03-04,FVG,0,5,0,0,22,0,0,18,376,0,18
2020-03-04,LAZ,0,16,0,0,118,3,0,30,995,3,25
2020-03-04,LIG,0,2,0,0,12,4,1,26,133,5,20
2020-03-04,LOM,18,300,111,129,2561,250,73,1820,12138,323,1392
2020-03-04,MAR,2,23,0,2,88,0,4,84,288,4,82
2020-03-04,MOL,0,0,0,0,6,0,0,3,19,0,3
2020-03-04,PIE,0,26,0,0,85,0,0,82,543,0,79
2020-03-04,PUG,1,3,1,2,24,1,1,9,322,2,9
2020-03-04,SAR,0,1,0,0,13,0,0,2,42,0,2
2020-03-04,TOS,0,19,0,0,79,1,0,38,776,1,35
2020-03-04,UMB,0,1,0,0,13,0,0,9,58,0,9
2020-03-04,VDA,0,0,0,0,3,0,0,0,15,0,0
2020-03-04,VEN,3,53,2,5,339,9,6,360,10515,15,308
2020-03-05,ABR,0,1,0,0,11,0,0,8,96,0,8
2020-03-05,BAS,0,0,0,0,6,0,0,1,54,0,1
2020-03-05,BZ,0,0,0,0,0,0,0,1,20,0,0
2020-03-05,CAL,0,1,0,0,7,0,0,2,53,0,2
2020-03-05,EMR,8,154,4,12,384,10,30,698,2884,40,644
2020-03-05,FVG,0,3,0,0,21,0,0,21,397,0,21
2020-03-05,LAZ,0,14,0,0,180,3,0,44,1175,3,39
2020-03-05,LIG,2,2,0,2,13,4,3,28,146,7,22
2020-03-05,LOM,25,431,126,151,431,376,98,2251,12354,474,1694
2020-03-05,MAR,0,40,0,0,125,0,4,124,413,4,120
2020-03-05,MOL,0,4,0,0,5,0,0,7,24,0,7
2020-03-05,PIE,2,26,0,2,26,0,2,108,543,2,105
2020-03-05,PUG,0,5,0,0,37,1,1,14,359,2,12
2020-03-05,SAR,0,0,0,0,8,0,0,2,50,0,2
2020-03-05,TOS,0,23,0,0,23,1,0,61,776,1,58
2020-03-05,UMB,0,0,0,0,30,0,0,9,88,0,9
2020-03-05,VDA,0,2,0,0,6,0,0,2,21,0,2
2020-03-05,VEN,4,47,8,12,1434,17,10,407,11949,27,350
2020-03-06,ABR,0,1,0,0,1,0,0,9,96,0,9
2020-03-06,BAS,0,2,0,0,9,0,0,3,63,0,3
2020-03-06,BZ,0,3,0,0,16,0,0,4,36,0,3
2020-03-06,CAL,0,2,0,0,46,0,0,4,99,0,4
2020-03-06,EMR,7,172,7,14,252,17,37,870,3136,54,804
2020-03-06,FVG,0,10,3,3,180,3,0,31,577,3,31
2020-03-06,LAZ,1,10,0,1,198,3,1,54,1373,4,49
2020-03-06,LIG,0,4,1,1,83,5,3,32,229,8,24
2020-03-06,LOM,37,361,93,130,1202,469,135,2612,13556,604,1904
2020-03-06,MAR,0,35,0,0,172,0,4,159,585,4,155
2020-03-06,MOL,0,5,0,0,80,0,0,12,104,0,12
2020-03-06,PIE,2,35,0,2,250,0,4,143,793,4,138
2020-03-06,PUG,0,3,0,0,36,1,1,17,395,2,15
2020-03-06,SAR,0,3,0,0,49,0,0,5,99,0,5
2020-03-06,TOS,0,18,0,0,321,1,0,79,1097,1,76
2020-03-06,UMB,0,7,0,0,22,0,0,16,110,0,16
2020-03-06,VDA,0,5,0,0,7,0,0,7,28,0,7
2020-03-06,VEN,2,81,5,7,1074,22,12,488,13023,34,419
2020-03-07,ABR,0,2,0,0,27,0,0,11,123,0,11
2020-03-07,BAS,0,0,0,0,12,0,0,3,75,0,3
2020-03-07,BZ,0,5,0,0,5,0,0,9,36,0,8
2020-03-07,CAL,0,0,0,0,14,0,0,4,113,0,4
2020-03-07,EMR,11,140,8,19,468,25,48,1010,3604,73,930
2020-03-07,FVG,0,11,0,0,11,3,0,42,577,3,39
2020-03-07,LAZ,0,22,0,0,209,3,1,76,1582,4,70
2020-03-07,LIG,1,19,0,1,102,5,4,51,331,9,42
2020-03-07,LOM,19,808,55,74,2222,524,154,3420,15778,678,2582
2020-03-07,MAR,2,48,0,2,231,0,6,207,816,6,203
2020-03-07,MOL,0,2,0,0,8,0,0,14,112,0,14
2020-03-07,PIE,1,64,0,1,253,0,5,207,1046,5,200
2020-03-07,PUG,1,9,0,1,9,1,2,26,395,3,24
2020-03-07,SAR,0,0,0,0,0,0,0,5,99,0,5
2020-03-07,TOS,0,34,0,0,234,1,0,113,1331,1,110
2020-03-07,UMB,0,8,0,0,24,0,0,24,134,0,24
2020-03-07,VDA,0,1,0,0,4,0,0,8,32,0,8
2020-03-07,VEN,1,55,3,4,1406,25,13,543,14429,38,467
2020-03-08,ABR,0,6,0,0,40,0,0,17,163,0,17
2020-03-08,BAS,0,1,0,0,48,0,0,4,123,0,4
2020-03-08,BZ,0,0,0,0,0,0,0,9,36,0,8
2020-03-08,CAL,0,5,0,0,5,0,0,9,113,0,9
2020-03-08,EMR,8,170,2,10,740,27,56,1180,4344,83,1081
2020-03-08,FVG,1,15,0,1,420,3,1,57,997,4,54
2020-03-08,LAZ,2,11,0,2,347,3,3,87,1929,6,81
2020-03-08,LIG,2,27,0,2,70,5,6,78,401,11,68
2020-03-08,LOM,113,769,26,139,2756,550,267,4189,18534,817,3277
2020-03-08,MAR,1,65,0,1,209,0,7,272,1025,7,266
2020-03-08,MOL,0,0,0,0,4,0,0,14,116,0,14
2020-03-08,PIE,0,153,0,0,590,0,5,360,1636,5,352
2020-03-08,PUG,1,14,0,1,232,1,3,40,627,4,37
2020-03-08,SAR,0,6,0,0,50,0,0,11,149,0,11
2020-03-08,TOS,0,53,0,0,287,1,0,166,1618,1,163
2020-03-08,UMB,0,2,0,0,34,0,0,26,168,0,26
2020-03-08,VDA,0,1,0,0,9,0,0,9,41,0,9
2020-03-08,VEN,5,127,4,9,1489,29,18,670,15918,47,590
2020-03-09,ABR,0,13,0,0,74,0,0,30,237,0,30
2020-03-09,BAS,0,1,0,0,12,0,0,5,135,0,5
2020-03-09,BZ,0,0,0,0,0,0,0,9,36,0,8
2020-03-09,CAL,0,2,2,2,60,2,0,11,173,2,11
2020-03-09,EMR,14,206,3,17,562,30,70,1386,4906,100,1277
2020-03-09,FVG,0,36,0,0,347,3,1,93,1344,4,89
2020-03-09,LAZ,2,15,0,2,15,3,5,102,1929,8,94
2020-03-09,LIG,1,31,0,1,210,5,7,109,611,12,97
2020-03-09,LOM,66,1280,96,162,1601,646,333,5469,20135,979,4418
2020-03-09,MAR,3,51,0,3,225,0,10,323,1250,10,316
2020-03-09,MOL,0,0,0,0,96,0,0,14,212,0,14
2020-03-09,PIE,8,-10,0,8,45,0,13,350,1681,13,342
2020-03-09,PUG,0,10,0,0,58,1,3,50,685,4,46
2020-03-09,SAR,0,8,0,0,36,0,0,19,185,0,19
2020-03-09,TOS,1,42,0,1,400,1,1,208,2018,2,205
2020-03-09,UMB,0,2,0,0,15,0,0,28,183,0,28
2020-03-09,VDA,0,6,0,0,26,0,0,15,67,0,15
2020-03-09,VEN,2,74,1,3,74,30,20,744,15956,50,655
2020-03-10,ABR,1,8,0,1,73,0,1,38,310,1,38
2020-03-10,BAS,0,2,0,0,13,0,0,7,148,0,7
2020-03-10,BZ,0,29,0,0,29,0,0,38,36,0,37
2020-03-10,CAL,0,2,0,0,187,2,0,13,360,2,11
2020-03-10,EMR,15,147,1,16,588,31,85,1533,5494,116,1407
