date,code,activeInfectives,deaths,deathsTotal,infectives,infectivesTotal,recovered,recoveredTotal,removed,removedTotal,tested,testedTotal,populationN,populationBaseline,totalPopulation,populationAlive,Smax,proportionDocumentedLinear,proportionDocumentedDownwardsVertex,proportionDocumentedUpwardsVertex,proportionDocumentedCubic,activeInfectivesLinear,activeInfectivesDownwardsVertex,activeInfectivesUpwardsVertex,activeInfectivesCubic,proportionDocumentedQuadraticSix,activeInfectivesQuadraticSix,proportionDocumentedQuadraticSixtyFive,activeInfectivesQuadraticSixtyFive,proportionDocumentedQuadratic,activeInfectivesQuadratic,proportionDocumentedQuadraticSeventyFive,activeInfectivesQuadraticSeventyFive,susceptiblePopulationLinear,susceptibleRateLinear,activeInfectivesTotalLinear,infectivesRateTotalLinear,infectivesRateLinear,susceptiblePopulationDownwardsVertex,susceptibleRateDownwardsVertex,activeInfectivesTotalDownwardsVertex,infectivesRateTotalDownwardsVertex,infectivesRateDownwardsVertex,susceptiblePopulationUpwardsVertex,susceptibleRateUpwardsVertex,activeInfectivesTotalUpwardsVertex,infectivesRateTotalUpwardsVertex,infectivesRateUpwardsVertex,susceptiblePopulationCubic,susceptibleRateCubic,activeInfectivesTotalCubic,infectivesRateTotalCubic,infectivesRateCubic,susceptiblePopulation,susceptibleRate,activeInfectivesTotal,infectivesRateTotal,infectivesRate,susceptiblePopulationQuadraticSix,susceptibleRateQuadraticSix,activeInfectivesTotalQuadraticSix,infectivesRateTotalQuadraticSix,infectivesRateQuadratic,susceptiblePopulationQuadraticSixtyFive,susceptibleRateQuadraticSixtyFive,activeInfectivesTotalQuadraticSixtyFive,infectivesRateTotalQuadraticSixtyFive,susceptiblePopulationQuadratic,susceptibleRateQuadratic,activeInfectivesTotalQuadratic,infectivesRateTotalQuadratic,susceptiblePopulationQuadraticSeventyFive,susceptibleRateQuadraticSeventyFive,activeInfectivesTotalQuadraticSeventyFive,infectivesRateTotalQuadraticSeventyFive,region,airFreightLoaded,airFreightUnloaded,airPassengersArrived,airPassengersDeparted,area,touristArrivals,hospitalStay,broadbandAccess,deathRateDiabetes,deathRateInfluenza,deathRateChd,deathRateCancer,deathRatePneumonia,disposableIncome,gdpPerInhabitant,medicalDoctors,nursesMidwives,availableBeds,curativeCareBeds,longtermCareBeds,otherBeds,psychiatricCareBeds,rehabilitativeCareBeds,dischargeRateDiabetes,dischargeRateRespiratory,dischargeRateHypertension,dischargeRateCancer,dischargeRateChd,dischargeRatePneumonia,dischargeRateTB,internetContactAuthorities,lengthElectrifiedRailway,lengthMotorways,lengthOtherRoads,lengthLargeRailway,lengthRailway,maritimeFreightLoaded,maritimeFreightUnloaded,maritimePassengersDisembarked,maritimePassengersEmbarked,medianAge,lowerEducation,tertiaryEducation,higherEducation,populationDensity,populationNumbers,riskOfPovertyOrSocialExclusion,transitStations,weekend,lockdown
2020-02-26,ABR,0,0,0,0,0,0,0,0,0,8,13,1309579,1309579,1309579,1309579,1309579,0.10000893416891994,0.09998213157347194,0.1000000000886882,0.10002812571288111,0,0,0,0,0.10001091952008255,0,0.10001290487124516,0,0.10001489022240777,0,0.10001687557357038,0,1309579,1,0,0,0,1309579,1,0,0,0,1309579,1,0,0,0,1309579,1,0,0,0,1309579,1,0,0,0,1309579,1,0,0,0,1309579,1,0,0,1309579,1,0,0,1309579,1,0,0,Abruzzo,0,0,324,332,10833,1441899,7.9,84,37.83,0.76,154.49,257.63,14.5,15300,25800,5600,8433,4087,3317,190,0,104,580,48.8,1021,73.1,1029.6,111.5,225.9,7.7,23,319,355,13098,123,524,152,1062,271.02716049382695,274.47489711934134,47.4,33.4,19.3,47.3,120.88793501338503,1311580,30.1,2.901695888526007e-5,0,0
2020-02-26,BAS,0,0,0,0,0,0,0,0,0,0,0,562010,562010,562010,562010,562010,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0,0.1,0,0.1,0,0.1,0,562010,1,0,0,0,562010,1,0,0,0,562010,1,0,0,0,562010,1,0,0,0,562010,1,0,0,0,562010,1,0,0,0,562010,1,0,0,562010,1,0,0,562010,1,0,0,Basilicata,0.22517730496453894,0.6755319148936169,980.196808510638,990.1046099290777,10073,749956,8,78,46.68,0.52,122.72,236.18,8.39,13100,22200,2007,3484,1720,1400,159,0,32,161,22,1237.5,47.3,989.9,110.8,196.4,7.6,17,211,30,6355,18,347,5318.237588652481,5804.1702127659555,1046.8492907801415,1030.6365248226948,47,38.5,15.9,45.5,55.793705946589895,562869,39.2,1.6013949929716553e-5,0,0
2020-02-26,BZ,0,0,0,0,1,0,0,0,0,0,1,530368,530368,530368,530368,530368,0.10000169693495838,0.09999660612688373,0.10000000000319954,0.10000534218913755,0,0,0,0,0.10000207403090478,0,0.10000245112685119,0,0.10000282822279759,0,0.100003205318744,0,530368,1,0,0,0,530368,1,0,0,0,530368,1,0,0,0,530368,1,0,0,0,530368,1,0,0,0,530368,1,0,0,0,530368,1,0,0,530368,1,0,0,530368,1,0,0,Provincia Autonoma di Bolzano/Bozen,0.03760445682451258,0.11281337047353773,163.69220055710326,165.34679665738182,7398,2576564,8.1,85,14.16,1.72,76.93,232.12,19.9,23500,47100,1618,3899,1919,1572,166,0,75,181,69.8,1091.2,51.3,941.1,47.7,358.7,7,29,289,212,5557,194,356,888.1420612813381,969.2924791086363,174.82311977715898,172.11559888579407,44,30.9,17.8,51.3,71.69072722357394,531178,12.9,8.861771449257874e-5,0,0
2020-02-26,CAL,0,0,0,0,0,0,0,0,0,1,3,1944161,1944161,1944161,1944161,1944161,0.10000138877387213,0.09999722245011276,0.100000000002143,0.10000437205684555,0,0,0,0,0.10000169738981193,0,0.10000200600575174,0,0.10000231462169155,0,0.10000262323763136,0,1944161,1,0,0,0,1944161,1,0,0,0,1944161,1,0,0,0,1944161,1,0,0,0,1944161,1,0,0,0,1944161,1,0,0,0,1944161,1,0,0,1944161,1,0,0,1944161,1,0,0,Calabria,0,1,1597,1629,15222,1486385,7.8,77,50.41,0.36,105.14,231.17,5.95,12000,17000,7565,9551,4150,3507,224,0,83,419,35.5,702.3,49.8,605.2,121.3,122.1,10.1,17,489,288,13909,279,851,16489,16467,4638,4697,45.2,45.9,15.1,39,127.72047037183025,1947131,44.5,1.5482256870701552e-4,0,0
2020-02-26,EMR,21,1,1,21,47,0,0,1,1,186,577,4452674,4452674,4452674,4452673,4452673,0.10011662657464404,0.09976673173764758,0.10000001511306435,0.10036709392833629,210,210,210,209,0.10014254023277286,210,0.10016845389090169,210,0.10019436754903051,210,0.10022028120715933,210,4452463,0.9999528373181682,210,4.7162681831789576e-5,4.7162681831789576e-5,4452463,0.9999528373181682,210,4.7162681831789576e-5,4.7162681831789576e-5,4452463,0.9999528373181682,210,4.7162681831789576e-5,4.7162681831789576e-5,4452464,0.9999530619023674,209,4.693809763259058e-5,4.693809763259058e-5,4452652,0.9999952837318168,21,4.716268183178958e-6,4.716268183178958e-6,4452463,0.9999528373181682,210,4.7162681831789576e-5,4.7162681831789576e-5,4452463,0.9999528373181682,210,4.7162681831789576e-5,4452463,0.9999528373181682,210,4.7162681831789576e-5,4452463,0.9999528373181682,210,4.7162681831789576e-5,Emilia-Romagna,24,16,4464,4480,22453,8355467,7.7,88,30.55,0.63,111.03,300.78,28.1,21300,36200,18643,28785,16316,12955,1960,0,469,1401,81,1384.1,73.1,1424.7,105.4,331.7,10.8,26,1229,572,17647,804,1314,5719,25505,261.21864154685153,259.8116013882001,47.5,31.9,22,46.1,198.3108715984501,4459477,14.2,8.983365950437871e-6,0,0
2020-02-26,FVG,0,0,0,0,0,0,0,0,0,25,114,1213366,1213366,1213366,1213366,1213366,0.10008455816299452,0.0998308757294744,0.10000000794453659,0.10026616808219119,0,0,0,0,0.10010334710042962,0,0.10012213603786471,0,0.1001409249752998,0,0.1001597139127349,0,1213366,1,0,0,0,1213366,1,0,0,0,1213366,1,0,0,0,1213366,1,0,0,0,1213366,1,0,0,0,1213366,1,0,0,0,1213366,1,0,0,1213366,1,0,0,1213366,1,0,0,Friuli-Venezia Giulia,0,0,383,386,7862,1237869,7.7,87,23.7,0.41,137.1,333.49,35.26,19700,31300,4828,8278,4268,3835,126,0,40,307,38.6,1211.7,63.9,1352.8,81.9,348.3,6.5,27,388,210,4714,299,466,13368,50318,7.970093457943944,8.254205607476655,49.2,31.4,21.1,47.6,154.33299414907148,1215220,13.6,7.911874900071371e-4,0,0
2020-02-26,LAZ,0,0,0,0,3,2,3,2,3,0,124,5870115,5870115,5870115,5870115,5870112,0.1000190115623007,0.09996197647379919,0.10000000040159945,0.1000598495190258,0,0,0,0,0.10002323626467874,0,0.1000274609670568,0,0.10003168566943485,0,0.1000359103718129,0,5870112,0.9999994889367585,0,0,0,5870112,0.9999994889367585,0,0,0,5870112,0.9999994889367585,0,0,0,5870112,0.9999994889367585,0,0,0,5870112,0.9999994889367585,0,0,0,5870112,0.9999994889367585,0,0,0,5870112,0.9999994889367585,0,0,5870112,0.9999994889367585,0,0,5870112,0.9999994889367585,0,0,Lazio,130,94,24368,24339,17232,4606265,8.6,87,33.85,0.42,117.86,275.52,18.07,18100,33600,27007,30588,19483,16112,647,0,379,2724,48.2,887.5,64.1,1194.4,126.1,255.8,12.8,26,1114,498,19371,863,1217,4396,11807,1265,1272,46.3,30.1,25.6,44.4,340.65198467966576,5879082,27.5,5.04249064967211e-5,0,0
2020-02-26,LIG,10,0,0,10,11,0,0,0,0,27,66,1548275,1548275,1548275,1548275,1548275,0.10003836527748625,0.09992326780958918,0.10000000163543836,0.10012077267223193,100,100,100,100,0.10004689053127466,100,0.10005541578506308,100,0.1000639410388515,100,0.10007246629263991,100,1548175,0.999935411990764,100,6.458800923608532e-5,6.458800923608532e-5,1548175,0.999935411990764,100,6.458800923608532e-5,6.458800923608532e-5,1548175,0.999935411990764,100,6.458800923608532e-5,6.458800923608532e-5,1548175,0.999935411990764,100,6.458800923608532e-5,6.458800923608532e-5,1548265,0.9999935411990764,10,6.458800923608532e-6,6.458800923608532e-6,1548175,0.999935411990764,100,6.458800923608532e-5,6.458800923608532e-5,1548175,0.999935411990764,100,6.458800923608532e-5,1548175,0.999935411990764,100,6.458800923608532e-5,1548175,0.999935411990764,100,6.458800923608532e-5,Liguria,0,0,731,729,5416,2550375,8.6,84,39.28,0.7,139.59,350.21,27.23,19600,32100,7067,10724,5517,4352,330,0,176,835,46.2,1252,52.7,1240.4,94.9,274.8,10.6,24,479,375,5619,335,495,31879,49186,1292,1326,50.9,32.8,22,45.2,285.87056868537667,1550640,18.8,8.893768871808948e-4,0,0
2020-02-26,LOM,15,0,9,18,258,0,0,0,9,18,3208,10045229,10045229,10045229,10045229,10045220,0.10028742028546911,0.09942506763970568,0.10000009178935612,0.10090445414517897,150,151,150,149,0.10035127106238312,149,0.10041512183929711,149,0.10047897261621111,149,0.10054282339312512,149,10045070,0.9999841715903142,150,1.4932461967765991e-5,1.4932461967765991e-5,10045069,0.9999840720405677,151,1.5032011714217764e-5,1.5032011714217764e-5,10045070,0.9999841715903142,150,1.4932461967765991e-5,1.4932461967765991e-5,10045071,0.9999842711400606,149,1.4832912221314218e-5,1.4832912221314218e-5,10045205,0.9999976108060852,15,1.4932461967765992e-6,1.4932461967765992e-6,10045071,0.9999842711400606,149,1.4832912221314218e-5,1.4832912221314218e-5,10045071,0.9999842711400606,149,1.4832912221314218e-5,10045071,0.9999842711400606,149,1.4832912221314218e-5,10045071,0.9999842711400606,149,1.4832912221314218e-5,Lombardia,417,306,23215,23081,23864,7661191,8.4,87,23.02,0.46,96.33,296.11,21.33,21400,38600,36726,53834,35870,28381,808,0,876,6681,70.5,1059.5,27.2,1200.9,142.4,285.6,9.7,27,1453,708,15992,857,1736,210.71559633027573,295.4862385321108,258.8036697247713,258.7376146788997,46.5,35,21.2,43.8,420.9365152531009,10060574,15.7,4.778387829685117e-6,0,0
2020-02-26,MAR,1,0,0,1,1,0,0,0,0,7,28,1522945,1522945,1522945,1522945,1522945,0.10001654688777337,0.09996690592023162,0.10000000030422167,0.10005209076962147,10,10,10,10,0.10002022390634041,10,0.10002390092490746,10,0.1000275779434745,10,0.10003125496204154,10,1522935,0.9999934337746931,10,6.566225306888955e-6,6.566225306888955e-6,1522935,0.9999934337746931,10,6.566225306888955e-6,6.566225306888955e-6,1522935,0.9999934337746931,10,6.566225306888955e-6,6.566225306888955e-6,1522935,0.9999934337746931,10,6.566225306888955e-6,6.566225306888955e-6,1522944,0.9999993433774693,1,6.566225306888956e-7,6.566225306888956e-7,1522935,0.9999934337746931,10,6.566225306888955e-6,6.566225306888955e-6,1522935,0.9999934337746931,10,6.566225306888955e-6,1522935,0.9999934337746931,10,6.566225306888955e-6,1522935,0.9999934337746931,10,6.566225306888955e-6,Marche,4,3,221,226,9401,1872348,8.3,86,35.11,0.78,145.76,290.35,20.44,17800,28300,5650,9282,4943,4018,542,0,176,383,25.7,1014.9,43.1,1162,91.1,274.7,9.3,23,268,168,8702,195,385,4539,6272,533,552,47.9,35.1,20.5,44.4,161.998191681736,1525271,17.6,6.566225306888955e-6,0,0
