Date,ABR_Deaths,ABR_Recovered,ABR_Tested,ABR_TestedPositive,BAS_Deaths,BAS_Recovered,BAS_Tested,BAS_TestedPositive,BZ_Deaths,BZ_Recovered,BZ_Tested,BZ_TestedPositive,CAL_Deaths,CAL_Recovered,CAL_Tested,CAL_TestedPositive,CAM_Deaths,CAM_Recovered,CAM_Tested,CAM_TestedPositive,EMR_Deaths,EMR_Recovered,EMR_Tested,EMR_TestedPositive,FVG_Deaths,FVG_Recovered,FVG_Tested,FVG_TestedPositive,LAZ_Deaths,LAZ_Recovered,LAZ_Tested,LAZ_TestedPositive,LIG_Deaths,LIG_Recovered,LIG_Tested,LIG_TestedPositive,LOM_Deaths,LOM_Recovered,LOM_Tested,LOM_TestedPositive,MAR_Deaths,MAR_Recovered,MAR_Tested,MAR_TestedPositive,MOL_Deaths,MOL_Recovered,MOL_Tested,MOL_TestedPositive,PIE_Deaths,PIE_Recovered,PIE_Tested,PIE_TestedPositive,PUG_Deaths,PUG_Recovered,PUG_Tested,PUG_TestedPositive,SAR_Deaths,SAR_Recovered,SAR_Tested,SAR_TestedPositive,SIC_Deaths,SIC_Recovered,SIC_Tested,SIC_TestedPositive,TN_Deaths,TN_Recovered,TN_Tested,TN_TestedPositive,TOS_Deaths,TOS_Recovered,TOS_Tested,TOS_TestedPositive,UMB_Deaths,UMB_Recovered,UMB_Tested,UMB_TestedPositive,VDA_Deaths,VDA_Recovered,VDA_Tested,VDA_TestedPositive,VEN_Deaths,VEN_Recovered,VEN_Tested,VEN_TestedPositive
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,243,8,0,0,31,0,0,0,0,0,0,0,38,1,3,0,2237,68,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,156,2,0,0,8,0,0,0,0,0,0,0,1580,10
2020-02-26,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,186,21,0,0,25,0,0,2,0,0,0,0,27,10,0,0,-492,18,0,0,7,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,1,0,1120,28
2020-02-27,0,0,20,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,3,0,0,456,50,0,0,27,0,0,0,428,0,0,0,12,8,5,40,112,145,0,0,18,2,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,29,0,0,0,47,0,0,0,0,0,0,0,2,0,0,0,1264,40
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,203,1,1,0,244,48,0,0,28,0,0,0,59,0,0,0,34,0,3,0,1515,128,0,0,1,3,0,0,0,0,0,0,71,9,0,0,242,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,6,0,0,0,0,0,0,0,0,0,0,1250,40
2020-02-29,0,0,10,1,0,0,32,0,0,0,14,0,0,0,6,0,0,0,160,9,2,0,273,72,0,0,20,0,0,0,68,3,0,4,9,23,6,0,888,84,0,0,21,5,0,0,0,0,0,0,81,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,94,3,0,0,23,0,0,0,0,0,0,0,1245,40
2020-03-01,0,0,9,3,0,0,7,0,0,0,4,0,0,0,8,0,0,0,0,4,4,0,245,68,0,0,54,6,0,0,45,0,0,0,0,-17,1,33,1156,369,0,0,33,14,0,0,6,0,0,0,54,38,0,0,10,0,0,0,28,0,0,0,285,5,0,0,79,0,0,0,41,2,0,0,4,2,0,0,1,0,0,0,397,72
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,178,50,0,0,26,3,0,0,49,1,0,0,0,-3,14,66,1046,270,1,0,36,10,0,0,7,0,0,0,72,2,0,0,16,1,0,0,0,0,0,0,16,-2,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,0,0,0,726,10
2020-03-03,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,32,13,7,4,39,85,0,0,85,4,0,0,104,7,1,0,0,2,17,0,1652,266,1,0,63,26,0,0,0,3,0,0,24,5,0,0,20,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,84,6,0,0,10,6,0,0,1,0,1,7,394,34
2020-03-04,0,0,33,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,24,1,4,2,488,124,0,0,22,5,0,0,118,16,0,0,12,2,18,111,2561,300,2,0,88,23,0,0,6,0,0,0,85,26,1,1,24,3,0,0,13,1,0,0,60,11,0,0,0,1,0,0,79,19,0,0,13,1,0,0,3,0,3,2,339,53
2020-03-05,0,0,11,1,0,0,6,0,0,0,0,0,0,0,7,1,0,0,42,14,8,4,384,154,0,0,21,3,0,0,180,14,2,0,13,2,25,126,216,431,0,0,125,40,0,0,5,4,2,0,0,26,0,0,37,5,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,30,0,0,0,6,2,4,8,1434,47
2020-03-06,0,0,0,1,0,0,9,2,0,0,16,3,0,0,46,2,0,0,0,12,7,7,252,172,0,3,180,10,1,0,198,10,0,1,83,4,37,93,1202,361,0,0,172,35,0,0,80,5,2,0,250,35,0,0,36,3,0,0,49,3,0,0,0,6,0,0,0,3,0,0,321,18,0,0,22,7,0,0,7,5,2,5,1074,81
2020-03-07,0,0,27,2,0,0,12,0,0,0,0,5,0,0,14,0,0,0,141,4,11,8,468,140,0,0,0,11,0,0,209,22,1,0,102,19,19,55,2222,808,2,0,231,48,0,0,8,2,1,0,253,64,1,0,0,9,0,0,0,0,0,0,276,11,0,0,72,4,0,0,234,34,0,0,24,8,0,0,4,1,1,3,1406,55
2020-03-08,0,0,40,6,0,0,48,1,0,0,0,0,0,0,0,5,0,1,368,40,8,2,740,170,1,0,420,15,2,0,347,11,2,0,70,27,113,26,2756,769,1,0,209,65,0,0,4,0,0,0,590,153,1,0,232,14,0,0,50,6,0,0,148,18,0,0,34,9,0,0,287,53,0,0,34,2,0,0,9,1,5,4,1489,127
2020-03-09,0,0,74,13,0,0,12,1,0,0,0,0,0,2,60,2,0,0,0,19,14,3,562,206,0,0,347,36,2,0,0,15,1,0,210,31,66,96,1601,1280,3,0,225,51,0,0,96,0,8,0,45,-10,0,0,58,10,0,0,36,8,0,0,45,1,0,0,39,10,1,0,400,42,0,0,15,2,0,0,26,6,2,1,38,74
2020-03-10,1,0,73,8,0,0,13,2,0,0,0,29,0,0,187,2,0,0,161,7,15,1,588,147,2,0,258,23,1,8,1662,14,1,0,83,32,135,250,1344,322,3,0,187,71,0,0,13,1,4,0,693,103,0,0,62,9,0,0,19,1,0,0,119,8,0,2,132,19,0,2,555,56,0,0,77,9,0,0,22,2,6,17,687,112
2020-03-11,0,0,0,0,0,0,7,1,0,0,39,37,0,0,45,6,1,3,234,27,28,7,1146,206,3,7,471,10,0,8,0,34,0,0,331,53,149,4,4150,1489,5,0,219,85,0,0,8,1,4,0,57,48,2,0,162,18,0,0,79,17,0,0,239,21,0,1,128,25,0,2,231,56,0,2,80,9,1,0,10,3,3,7,4757,167
2020-03-12,1,4,557,46,0,0,0,0,1,0,532,29,0,-1,78,14,0,0,176,25,33,5,960,208,2,1,531,41,3,0,2001,50,3,15,149,80,127,185,3905,1445,4,0,251,113,0,0,5,0,5,0,448,79,0,0,360,27,0,0,19,2,2,0,283,32,1,1,66,30,4,2,361,44,0,0,118,18,0,0,19,7,3,1,2038,361
2020-03-13,0,0,91,5,0,0,0,2,1,0,204,21,0,0,21,5,1,1,120,41,55,8,1187,316,2,0,545,90,2,5,899,77,6,4,268,71,146,113,3166,1095,5,0,311,133,0,0,5,1,20,0,226,260,0,2,180,25,0,0,202,4,0,0,473,15,1,0,253,56,0,3,884,106,1,0,118,12,0,0,71,1,10,45,2253,211
2020-03-14,0,0,274,23,0,0,0,0,1,0,324,48,0,0,207,22,4,18,265,52,40,3,1256,381,3,6,227,44,2,0,844,80,10,28,308,118,76,462,4438,1865,9,0,343,174,0,0,4,0,13,0,575,33,3,-1,232,37,0,0,26,4,0,2,150,26,0,1,160,43,1,0,546,160,0,1,172,31,0,0,42,14,13,7,1289,342
