date,ABR_activeInfectives,ABR_deaths,ABR_deathsTotal,ABR_infectives,ABR_infectivesTotal,ABR_recovered,ABR_recoveredTotal,ABR_removed,ABR_removedTotal,ABR_tested,ABR_testedTotal,BAS_activeInfectives,BAS_deaths,BAS_deathsTotal,BAS_infectives,BAS_infectivesTotal,BAS_recovered,BAS_recoveredTotal,BAS_removed,BAS_removedTotal,BAS_tested,BAS_testedTotal,BZ_activeInfectives,BZ_deaths,BZ_deathsTotal,BZ_infectives,BZ_infectivesTotal,BZ_recovered,BZ_recoveredTotal,BZ_removed,BZ_removedTotal,BZ_tested,BZ_testedTotal,CAL_activeInfectives,CAL_deaths,CAL_deathsTotal,CAL_infectives,CAL_infectivesTotal,CAL_recovered,CAL_recoveredTotal,CAL_removed,CAL_removedTotal,CAL_tested,CAL_testedTotal,EMR_activeInfectives,EMR_deaths,EMR_deathsTotal,EMR_infectives,EMR_infectivesTotal,EMR_recovered,EMR_recoveredTotal,EMR_removed,EMR_removedTotal,EMR_tested,EMR_testedTotal,FVG_activeInfectives,FVG_deaths,FVG_deathsTotal,FVG_infectives,FVG_infectivesTotal,FVG_recovered,FVG_recoveredTotal,FVG_removed,FVG_removedTotal,FVG_tested,FVG_testedTotal,LAZ_activeInfectives,LAZ_deaths,LAZ_deathsTotal,LAZ_infectives,LAZ_infectivesTotal,LAZ_recovered,LAZ_recoveredTotal,LAZ_removed,LAZ_removedTotal,LAZ_tested,LAZ_testedTotal,LIG_activeInfectives,LIG_deaths,LIG_deathsTotal,LIG_infectives,LIG_infectivesTotal,LIG_recovered,LIG_recoveredTotal,LIG_removed,LIG_removedTotal,LIG_tested,LIG_testedTotal,LOM_activeInfectives,LOM_deaths,LOM_deathsTotal,LOM_infectives,LOM_infectivesTotal,LOM_recovered,LOM_recoveredTotal,LOM_removed,LOM_removedTotal,LOM_tested,LOM_testedTotal,MAR_activeInfectives,MAR_deaths,MAR_deathsTotal,MAR_infectives,MAR_infectivesTotal,MAR_recovered,MAR_recoveredTotal,MAR_removed,MAR_removedTotal,MAR_tested,MAR_testedTotal,MOL_activeInfectives,MOL_deaths,MOL_deathsTotal,MOL_infectives,MOL_infectivesTotal,MOL_recovered,MOL_recoveredTotal,MOL_removed,MOL_removedTotal,MOL_tested,MOL_testedTotal,PIE_activeInfectives,PIE_deaths,PIE_deathsTotal,PIE_infectives,PIE_infectivesTotal,PIE_recovered,PIE_recoveredTotal,PIE_removed,PIE_removedTotal,PIE_tested,PIE_testedTotal,PUG_activeInfectives,PUG_deaths,PUG_deathsTotal,PUG_infectives,PUG_infectivesTotal,PUG_recovered,PUG_recoveredTotal,PUG_removed,PUG_removedTotal,PUG_tested,PUG_testedTotal,SAR_activeInfectives,SAR_deaths,SAR_deathsTotal,SAR_infectives,SAR_infectivesTotal,SAR_recovered,SAR_recoveredTotal,SAR_removed,SAR_removedTotal,SAR_tested,SAR_testedTotal,TOS_activeInfectives,TOS_deaths,TOS_deathsTotal,TOS_infectives,TOS_infectivesTotal,TOS_recovered,TOS_recoveredTotal,TOS_removed,TOS_removedTotal,TOS_tested,TOS_testedTotal,UMB_activeInfectives,UMB_deaths,UMB_deathsTotal,UMB_infectives,UMB_infectivesTotal,UMB_recovered,UMB_recoveredTotal,UMB_removed,UMB_removedTotal,UMB_tested,UMB_testedTotal,VDA_activeInfectives,VDA_deaths,VDA_deathsTotal,VDA_infectives,VDA_infectivesTotal,VDA_recovered,VDA_recoveredTotal,VDA_removed,VDA_removedTotal,VDA_tested,VDA_testedTotal,VEN_activeInfectives,VEN_deaths,VEN_deathsTotal,VEN_infectives,VEN_infectivesTotal,VEN_recovered,VEN_recoveredTotal,VEN_removed,VEN_removedTotal,VEN_tested,VEN_testedTotal
2020-02-26,0,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,21,1,1,21,47,0,0,1,1,186,577,0,0,0,0,0,0,0,0,0,25,114,0,0,0,0,3,2,3,2,3,0,124,10,0,0,10,11,0,0,0,0,27,66,15,0,9,18,258,0,0,0,9,18,3208,1,0,0,1,1,0,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,67,363,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,28,1,2,28,71,0,0,1,2,1120,4900
2020-02-27,1,0,0,1,1,0,0,0,0,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,11,14,70,0,1,50,97,0,0,0,1,456,1033,0,0,0,0,0,0,0,0,0,27,141,0,0,0,0,3,0,3,0,3,428,552,18,0,0,8,19,0,0,0,0,12,78,160,5,14,145,403,40,40,45,54,145,3320,3,0,0,2,3,0,0,0,0,18,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,156,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,47,410,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,9,67,0,2,40,111,0,0,0,2,1264,6164
2020-02-28,1,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,7,21,118,1,2,48,145,0,0,1,2,244,1277,0,0,0,0,0,0,0,0,0,28,169,0,0,0,0,3,0,3,0,3,59,611,18,0,0,0,19,0,0,0,0,34,112,243,3,17,128,531,0,40,3,57,1515,4835,6,0,0,3,6,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,11,0,0,0,0,71,227,3,0,0,2,3,0,0,0,0,242,242,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6,8,1,1,1,1,27,437,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,107,0,2,40,151,0,0,0,2,1250,7414
2020-02-29,2,0,0,1,2,0,0,0,0,10,43,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,0,0,0,0,14,16,1,0,0,0,1,0,0,0,0,6,27,189,2,4,72,217,0,0,2,4,273,1550,0,0,0,0,0,0,0,0,0,20,189,1,0,0,3,6,0,3,0,3,68,679,41,0,0,3,42,4,4,4,4,23,121,324,6,23,84,615,0,40,6,63,888,5723,11,0,0,5,11,0,0,0,0,21,68,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,0,0,81,308,3,0,0,0,3,0,0,0,0,10,252,0,0,0,0,0,0,0,0,0,0,1,8,0,0,3,11,0,1,0,1,94,531,0,0,0,0,0,0,0,0,0,23,31,0,0,0,0,0,0,0,0,0,0,9,147,0,2,40,191,0,0,0,2,1245,8659
2020-03-01,5,0,0,3,5,0,0,0,0,9,52,0,0,0,0,0,0,0,0,0,7,39,0,0,0,0,1,0,0,0,0,4,20,1,0,0,0,1,0,0,0,0,8,35,255,4,8,68,285,0,0,4,8,245,1795,6,0,0,6,6,0,0,0,0,54,243,1,0,0,0,6,0,3,0,3,45,724,20,0,0,0,25,0,4,0,4,0,121,687,1,24,369,984,33,73,34,97,1156,6879,25,0,0,14,25,0,0,0,0,33,101,0,0,0,0,0,0,0,0,0,6,6,46,0,0,38,49,0,0,0,0,54,362,3,0,0,0,3,0,0,0,0,10,262,0,0,0,0,0,0,0,0,0,28,29,10,0,0,2,13,0,1,0,1,41,572,2,0,0,2,2,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,1,10,219,0,2,72,263,0,0,0,2,397,9056
2020-03-02,5,0,0,0,5,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0,20,1,0,0,0,1,0,0,0,0,4,39,301,3,11,50,335,0,0,3,11,178,1973,9,0,0,3,9,0,0,0,0,26,269,2,0,0,1,7,0,3,0,3,49,773,17,0,0,0,22,0,4,0,4,0,121,923,14,38,270,1254,66,139,80,177,1046,7925,35,1,1,10,35,0,0,1,1,36,137,0,0,0,0,0,0,0,0,0,7,13,48,0,0,2,51,0,0,0,0,72,434,4,0,0,1,4,0,0,0,0,16,278,0,0,0,0,0,0,0,0,0,0,29,10,0,0,0,13,0,1,0,1,41,613,2,0,0,0,2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,11,229,0,2,10,273,0,0,0,2,726,9782
2020-03-03,6,0,0,1,6,0,0,0,0,1,52,1,0,0,1,1,0,0,0,0,3,42,0,0,0,0,1,0,0,0,0,0,20,1,0,0,0,1,0,0,0,0,0,39,383,7,18,85,420,4,4,11,22,85,2012,13,0,0,4,13,0,0,0,0,85,354,9,0,0,7,14,0,3,0,3,104,877,19,1,1,2,24,0,4,1,5,2,121,1109,17,55,266,1520,0,139,17,194,1652,9577,60,1,2,26,61,0,0,1,2,63,200,3,0,0,3,3,0,0,0,0,3,13,53,0,0,5,56,0,0,0,0,24,458,6,0,0,2,6,0,0,0,0,20,298,1,0,0,1,1,0,0,0,0,1,29,16,0,0,6,19,0,1,0,1,84,697,8,0,0,6,8,0,0,0,0,10,45,0,0,0,0,0,0,0,0,0,1,12,263,1,3,34,307,7,7,8,10,394,10176
2020-03-04,7,0,0,1,7,0,0,0,0,33,85,1,0,0,0,1,0,0,0,0,6,48,0,0,0,0,1,0,0,0,0,0,20,1,0,0,0,1,0,0,0,0,7,46,496,4,22,124,544,2,6,6,28,488,2500,18,0,0,5,18,0,0,0,0,22,376,25,0,0,16,30,0,3,0,3,118,995,20,0,1,2,26,0,4,0,5,12,133,1392,18,73,300,1820,111,250,129,323,2561,12138,82,2,4,23,84,0,0,2,4,88,288,3,0,0,0,3,0,0,0,0,6,19,79,0,0,26,82,0,0,0,0,85,543,9,1,1,3,9,1,1,2,2,24,322,2,0,0,1,2,0,0,0,0,13,42,35,0,0,19,38,0,1,0,1,79,776,9,0,0,1,9,0,0,0,0,13,58,0,0,0,0,0,0,0,0,0,3,15,308,3,6,53,360,2,9,5,15,339,10515
2020-03-05,8,0,0,1,8,0,0,0,0,11,96,1,0,0,0,1,0,0,0,0,6,54,0,0,0,0,1,0,0,0,0,0,20,2,0,0,1,2,0,0,0,0,7,53,644,8,30,154,698,4,10,12,40,384,2884,21,0,0,3,21,0,0,0,0,21,397,39,0,0,14,44,0,3,0,3,180,1175,22,2,3,2,28,0,4,2,7,13,146,1694,25,98,431,2251,126,376,151,474,431,12354,120,0,4,40,124,0,0,0,4,125,413,7,0,0,4,7,0,0,0,0,5,24,105,2,2,26,108,0,0,2,2,26,543,12,0,1,5,14,0,1,0,2,37,359,2,0,0,0,2,0,0,0,0,8,50,58,0,0,23,61,0,1,0,1,23,776,9,0,0,0,9,0,0,0,0,30,88,2,0,0,2,2,0,0,0,0,6,21,350,4,10,47,407,8,17,12,27,1434,11949
2020-03-06,9,0,0,1,9,0,0,0,0,1,96,3,0,0,2,3,0,0,0,0,9,63,3,0,0,3,4,0,0,0,0,16,36,4,0,0,2,4,0,0,0,0,46,99,804,7,37,172,870,7,17,14,54,252,3136,31,0,0,10,31,3,3,3,3,180,577,49,1,1,10,54,0,3,1,4,198,1373,24,0,3,4,32,1,5,1,8,83,229,1904,37,135,361,2612,93,469,130,604,1202,13556,155,0,4,35,159,0,0,0,4,172,585,12,0,0,5,12,0,0,0,0,80,104,138,2,4,35,143,0,0,2,4,250,793,15,0,1,3,17,0,1,0,2,36,395,5,0,0,3,5,0,0,0,0,49,99,76,0,0,18,79,0,1,0,1,321,1097,16,0,0,7,16,0,0,0,0,22,110,7,0,0,5,7,0,0,0,0,7,28,419,2,12,81,488,5,22,7,34,1074,13023
