region,time,air_freight_loaded,air_freight_unloaded,air_passengers_arrived,air_passengers_departed,area,tourist_arrivals,hospital_stay,broadband_access,death_rate_all,death_rate_hiv,death_rate_influenza,death_rate_tb,death_rate_viralhepatitis,disposable_income,gdp_per_inhabitant,medical_doctors,nurses_midwives,Available beds in hospitals (HP.1),curative_care_beds,longterm_care_beds,other_beds,psychiatric_care_beds,rehabilitative_care_beds,internet_contact_authorities,length_electrified_railway,length_motorways,length_other_roads,length_large_railway,length_railway,maritime_freight_loaded,maritime_freight_unloaded,maritime_passengers_disembarked,maritime_passengers_embarked,median_age,lower_education,tertiary_education,higher_education,population_density,population_numbers,risk_of_poverty_or_social_exclusion
Abruzzo,1990,,,,,10833.0,920164.0,,,,,,,,,,,,,,,,,,,,357.0,7308.0,,533.0,,,,,37.4,,,,115.3,1243014.0,
Basilicata,1990,,,,,10073.0,187695.0,,,,,,,,,,,,,,,,,,,,29.0,4803.0,,357.0,,,,,33.7,,,,61.1,611029.0,
Calabria,1990,,,,,15222.0,676446.0,,,,,,,,,,,,,,,,,,,,295.0,8998.0,,854.0,,,,,32.1,,,,137.8,2080660.0,
Campania,1990,,,,,13670.0,2146643.0,,,,,,,,,,,,,,,,,,,,440.0,9483.0,,1005.0,,,,,30.5,,,,413.0,5607965.0,
Centro (IT),1990,,,,,58085.0,,,,,,,,,,,,,,,,,,,,,1075.0,30852.0,,,,,,,,,,,,,
Emilia-Romagna,1990,,,,,22453.0,,,,,,,,,,,,,,,,,,,,,569.0,10173.0,,,,,,,,,,,,,
Friuli-Venezia Giulia,1990,,,,,7862.0,,,,,,,,,,,,,,,,,,,,,194.0,3328.0,,488.0,,,,,41.6,,,,152.9,1200155.0,
Isole,1990,,,,,49933.0,3002006.0,,,,,,,,,,,,,,,,,,,,570.0,23401.0,,1883.0,,,,,33.1,,,,,6607850.0,
Italy,1990,,,,,302073.0,38194480.0,,,,,,,,,,,,,,,,,,,9512.0,6193.0,155744.0,5771.0,16019.0,,,,,36.9,,,,,56694360.0,
Lazio,1990,,,,,17232.0,,,,,,,,,,,,,,,,,,,,,465.0,9660.0,,1115.0,,,,,36.6,,,,297.4,5115628.0,
Liguria,1990,,,,,5416.0,2374247.0,,,,,,,,,,,,,,,,,,,,369.0,3626.0,,492.0,,,,,44.2,,,,311.8,1694410.0,
Lombardia,1990,,,,,23864.0,4249462.0,,,,,,,,,,,,,,,,,,,,545.0,12219.0,,1543.0,,,,,38.1,,,,370.7,8837150.0,
Marche,1990,,,,,9401.0,,,,,,,,,,,,,,,,,,,,,167.0,6337.0,,,,,,,,,,,,,
Molise,1990,,,,,4461.0,120937.0,,,,,,,,,,,,,,,,,,,,36.0,2616.0,,258.0,,,,,37.2,,,,74.5,330382.0,
Nord-Est,1990,,,,,62327.0,,,,,,,,,,,,,,,,,,,,,1395.0,26992.0,,,,,,,,,,,,,
Nord-Ovest,1990,,,,,57928.0,8762077.0,,,,,,,,,,,,,,,,,,,,1681.0,30186.0,,3939.0,,,,,39.6,,,,,14970142.0,
Piemonte,1990,,,,,25387.0,1512046.0,,,,,,,,,,,,,,,,,,,,706.0,13759.0,,1823.0,,,,,40.7,,,,169.9,4324173.0,
Provincia Autonoma di Bolzano/Bozen,1990,,,,,7398.0,,,,,,,,,,,,,,,,,,,,,187.0,4560.0,,233.0,,,,,33.6,,,,59.2,437426.0,
Provincia Autonoma di Trento,1990,,,,,6207.0,,,,,,,,,,,,,,,,,,,,,,,,191.0,,,,,37.5,,,,71.9,445997.0,
Puglia,1990,,,,,19541.0,1226349.0,,,,,,,,,,,,,,,,,,,,315.0,11105.0,,857.0,,,,,31.9,,,,207.6,4013227.0,
Sardegna,1990,,,,,24100.0,1078178.0,,,,,,,,,,,,,,,,,,,,0.0,8157.0,,435.0,,,,,32.9,,,,68.1,1637940.0,
Sicilia,1990,,,,,25833.0,1923828.0,,,,,,,,,,,,,,,,,,,,570.0,15244.0,,1448.0,,,,,33.2,,,,193.4,4969910.0,
Sud,1990,,,,,73800.0,5278234.0,,,,,,,,,,,,,,,,,,,,1472.0,44313.0,,3864.0,,,,,32.0,,,,,13886277.0,
Toscana,1990,,,,,22988.0,,,,,,,,,,,,,,,,,,,,,387.0,10684.0,,1377.0,,,,,41.8,,,,153.6,3533095.0,
Umbria,1990,,,,,8464.0,,,,,,,,,,,,,,,,,,,,,56.0,4171.0,,389.0,,,,,41.3,,,,95.8,809605.0,
Valle d'Aosta/Vallée d'Aoste,1990,,,,,3261.0,626322.0,,,,,,,,,,,,,,,,,,,,61.0,582.0,,81.0,,,,,39.3,,,,35.2,114409.0,
Veneto,1990,,,,,18407.0,,,,,,,,,,,,,,,,,,,,,445.0,8931.0,,1100.0,,,,,37.3,,,,237.9,4364265.0,
Abruzzo,1991,,,,,10833.0,1071845.0,,,,,,,,,,,,,,,,,,,,357.0,7308.0,,533.0,,,,,37.7,,,,115.6,1245844.0,
Basilicata,1991,,,,,10073.0,198883.0,,,,,,,,,,,,,,,,,,,,29.0,4803.0,,357.0,,,,,34.1,,,,61.1,610970.0,
Calabria,1991,,,,,15222.0,640792.0,,,,,,,,,,,,,,,,,,,,295.0,8998.0,,854.0,,,,,32.5,,,,137.4,2075886.0,
Campania,1991,,,,,13670.0,2154524.0,,,,,,,,,,,,,,,,,,,,440.0,9483.0,,1005.0,,,,,30.9,,,,413.9,5621030.0,
