TIME,C_LOAD,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Provincia Autonoma di Bolzano/Bozen,Provincia Autonoma di Trento,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta/Vallée d'Aoste,Veneto
2005,Abruzzo,4627401.0,794.0,3302.0,1060.0,,,,1993.0,139919.0,,8948.0,30669.0,,,124790.0,,845.0,,,170.0,
2005,Basilicata,658.0,1646354.0,3815.0,16370.0,,,,948.0,14469.0,,83.0,5791.0,,,4922.0,,1153.0,,,56.0,
2005,Calabria,3671.0,5232.0,5656993.0,224269.0,,,,57462.0,271403.0,,680.0,166490.0,,,49355.0,,33851.0,,,750.0,
2005,Campania,1403.0,13866.0,238684.0,21613624.0,,,,99233.0,527187.0,,216.0,146922.0,,,101706.0,,108708.0,,,357.0,
2005,Liguria,2717.0,789.0,57734.0,96512.0,,,,33906636.0,945102.0,,561.0,175947.0,,,15585.0,,44230.0,,,49.0,
2005,Lombardia,135084.0,15527.0,263387.0,516190.0,,,,970218.0,83373100.0,,26540.0,774026.0,,,601418.0,8.0,167260.0,,,9.0,
2005,Molise,11165.0,105.0,828.0,162.0,,,,414.0,28561.0,,1177447.0,9640.0,,,19275.0,,233.0,,,23.0,
2005,Piemonte,30859.0,7109.0,169041.0,145978.0,,,,187057.0,705731.0,,10917.0,42741720.0,,,187003.0,19.0,88188.0,,,,
2005,Puglia,124902.0,6639.0,46225.0,99942.0,,,,15804.0,624302.0,,23147.0,181746.0,,,13656459.0,,10924.0,,,859.0,
2005,Sardegna,,,,1.0,,,,6.0,28.0,,,33.0,,,,3991017.0,,,,1.0,
2005,Sicilia,811.0,1356.0,42515.0,107854.0,,,,45957.0,181376.0,,152.0,89333.0,,,4888.0,,10469992.0,,,213.0,
2005,Valle d'Aosta/Vallée d'Aoste,127.0,43.0,1083.0,379.0,,,,9.0,12.0,,18.0,,,,665.0,,332.0,,,2248783.0,
2015,Abruzzo,4552571.0,,,,205538.0,,,,91647.0,88127.0,16262.0,13563.0,,,132430.0,,,,,,19146.0
2015,Basilicata,,1192524.0,2034.0,15391.0,,,23017.0,111.0,113.0,,,2.0,,,1415.0,,,16.0,,,
2015,Calabria,,2223.0,5850436.0,291505.0,15642.0,,362025.0,10721.0,28853.0,,,16111.0,,,11882.0,,23404.0,9440.0,73.0,,
2015,Campania,,13663.0,300610.0,107221510.0,676825.0,,3168596.0,47345.0,1179707.0,,,201970.0,,,77118.0,,92088.0,566706.0,2429.0,,143520.0
2015,Emilia-Romagna,203020.0,,12083.0,670717.0,32018956.0,36255.0,1292424.0,,2178243.0,434554.0,64667.0,304625.0,35956.0,32754.0,499474.0,,,1085703.0,18573.0,,470720.0
2015,Friuli-Venezia Giulia,,,,,35320.0,6823242.0,61053.0,,168369.0,,,11818.0,,,,,,33259.0,460.0,,147108.0
2015,Lazio,,20886.0,382530.0,2707043.0,1301371.0,59350.0,147878200.0,306038.0,2741865.0,128944.0,,475811.0,101350.0,80457.0,403033.0,,130389.0,2246724.0,151868.0,,1288632.0
2015,Liguria,,110.0,10709.0,47486.0,,,299879.0,39906270.0,1085805.0,,,153527.0,,,,,8084.0,426681.0,,,
2015,Lombardia,93666.0,169.0,34215.0,1168443.0,2101654.0,140280.0,2714612.0,1064313.0,196644690.0,249738.0,31663.0,1472448.0,,,291738.0,,30115.0,1571612.0,25556.0,,2630386.0
2015,Marche,94038.0,,,,432806.0,,125349.0,,242058.0,8381982.0,20680.0,15294.0,,,144402.0,,,,15794.0,,21277.0
2015,Molise,23367.0,,,,65000.0,,,,32233.0,20642.0,1215756.0,5956.0,,,36000.0,,,,,,6028.0
2015,Piemonte,15301.0,2.0,19360.0,208527.0,317357.0,11696.0,464293.0,138717.0,1890324.0,18492.0,6329.0,43897376.0,,,78711.0,,1132.0,207924.0,,,230418.0
2015,Provincia Autonoma di Bolzano/Bozen,,,,,44326.0,,87983.0,,,,,,7239527.0,4039.0,,,,16394.0,274.0,,44978.0
2015,Provincia Autonoma di Trento,,,,,42353.0,,80960.0,,,,,,2407.0,3336927.0,,,,17480.0,221.0,,19960.0
2015,Puglia,137134.0,1575.0,12717.0,72006.0,494248.0,,407036.0,,299380.0,136223.0,51054.0,75923.0,,,13152017.0,,,,,,52587.0
2015,Sardegna,,,,,,,,,,,,,,,,4099722.0,,,,,
2015,Sicilia,,,24857.0,92658.0,,,130150.0,9604.0,28041.0,,,1223.0,,,,,11196193.0,3606.0,,,
2015,Toscana,,11.0,9327.0,593405.0,1091243.0,31048.0,2268225.0,427111.0,1574662.0,,,201341.0,17500.0,17615.0,,,2429.0,67147470.0,21428.0,,971599.0
2015,Umbria,,,,2275.0,19996.0,391.0,204609.0,,25341.0,23490.0,,,214.0,130.0,,,,30193.0,7554216.0,,2805.0
2015,Valle d'Aosta/Vallée d'Aoste,,,,,,,,,,,,,,,,,,,,3062535.0,
2015,Veneto,19617.0,,,150086.0,518197.0,123749.0,1325794.0,,2633652.0,22584.0,6331.0,235091.0,51087.0,29964.0,49411.0,,,1004313.0,3400.0,,48778150.0
