beta,gamma,beta_opt,gamma_opt
0,0,0.016691097767767078,0
0,0.1,0.10606275899354642,0.08939409446201275
0,0.2,0.18055875224508416,0.1638882495509833
0,0.30000000000000004,0.2435961635308227,0.2269214428647924
0,0.4,0.2976444458767976,0.2809422220394443
0,0.5,0.34447030516171756,0.3277649663077552
0,0.6000000000000001,0.3854158637329987,0.3687508133873133
0,0.7000000000000001,0.42157255257268805,0.4048994989556779
0,0.8,0.45370835875069215,0.4370339963089288
0,0.9,0.4824622799490327,0.46578441131749077
0,1,0.5083453374571039,0.49165486296712946
0.1,0,2.0522797883004843e-6,0.9999800159855567
0.1,0.1,0.11498010353804247,0.0983356507024356
0.1,0.2,0.19547615693732528,0.17878322357774387
0.1,0.30000000000000004,0.26249005684978355,0.24583707659136048
0.1,0.4,0.3192249701862375,0.3025669467704509
0.1,0.5,1,0.9831625763008525
0.1,0.6000000000000001,0.41000251305360674,0.3933319300319248
0.1,0.7000000000000001,0.4468926132975139,0.43019505930582147
0.1,0.8,0.4794243024248107,0.4627347366824561
0.1,0.9,0.5083454390839458,0.49165500255981903
0.1,1,0.5342217544499753,0.5175318232326639
0.2,0,1.6693409796885566e-6,0.9999988897769754
0.2,0.1,4.695801532539384e-5,0.9998534505607495
0.2,0.2,0.2133197128166745,0.1966702546453777
0.2,0.30000000000000004,0.2848401583102325,0.2681852825577664
0.2,0.4,0.3444722857585568,0.327764158692944
0.2,0.5,0.3949032865371088,0.3781858083452075
0.2,0.6000000000000001,0.438113200899537,0.4214157384646108
0.2,0.7000000000000001,1,0.9831703654436817
0.2,0.8,1,0.9831698449935551
0.2,0.9,0.5372753599651391,0.5205658554637115
0.2,1,0.5629966006652637,0.5462549800602834
0.30000000000000004,0,1.1975385427361244e-6,0.9999988897769754
0.30000000000000004,0.1,1.7619313352664663e-4,0.9998423483305032
0.30000000000000004,0.2,0.06060970854033493,0.8842226123230148
0.30000000000000004,0.30000000000000004,0.31166027929683954,0.295002998386193
0.30000000000000004,0.4,0.3742567863571446,0.35756782359737577
0.30000000000000004,0.5,0.42641870271013665,0.4097009266356167
0.30000000000000004,0.6000000000000001,0.47054516508890926,0.45381864434344243
0.30000000000000004,0.7000000000000001,0.508364948160979,0.49163634617124696
0.30000000000000004,0.8,0.5411215952637245,0.5244330903700327
0.30000000000000004,0.9,0.5698227032180472,0.5530858660589552
0.30000000000000004,1,0.5951277272244675,0.5783893494878896
0.4,0,1.0905790520976237e-6,0.9999988897769754
0.4,0.1,2.115662730712781e-4,0.9998334665463062
0.4,0.2,0.1197134380046482,0.8965560799035757
0.4,0.30000000000000004,0.43857096847601434,0.4218992455069159
0.4,0.4,1,0.9831626394114241
0.4,0.5,1,0.9831698728700723
